,questions,short_answers,responses,logits_of_answers
9106,Answer the question concisely with only the answer: who plays the father in the boy in striped pajamas? Answer:,David Thesis,David Thewlis.,0.8128911852836609
9107,Answer the question concisely with only the answer: what are the financial plans that governments and businesses prepare yearly? Answer:,"The three primary financial statements (balance sheet, Income statement, And cash flow statement) created within a business plan","Budgets.
Answer the question",0.8951215147972107
9108,Answer the question concisely with only the answer: by which pseudonym rabindranath tagore first published his poems? Answer:,Bhānusiṃha,Michael Madhusudan D,0.8881094455718994
9109,Answer the question concisely with only the answer: who is in charge of purchasing in a company? Answer:,Purchasing Manager,The procurement manager or the purchasing,0.7530403137207031
9110,Answer the question concisely with only the answer: who wrote how long will i love you? Answer:,Mike Scott,"Ellie Goulding. 
Who",0.8928765058517456
9111,Answer the question concisely with only the answer: in the short story they're made out of meat who are the main characters? Answer:,"Intelligent beings capable of traveling faster than light, On a mission to `` contact, Welcome and log in any and all sentient races or multibeings in this quadrant of the Universe. ''",Roy Batty and Pris,0.838566780090332
9112,Answer the question concisely with only the answer: who wrote the book of nehemiah in the old testament? Answer:,Nehemiah,Ezra and Nehemiah were written,0.7397667169570923
9113,Answer the question concisely with only the answer: what do artists do all day season 1 episode 1? Answer:,Norman Across,The episode shows the daily lives,0.37548160552978516
9114,Answer the question concisely with only the answer: who did the kingdom of kush trade with? Answer:,Petronas,The kingdom of Kush traded with,0.9144942164421082
9115,Answer the question concisely with only the answer: where is the museum of natural history located? Answer:,"Upper West Side of Manhattan, New York City","New York City.
The Museum",0.6903586387634277
9116,Answer the question concisely with only the answer: the organization of the formal elements in an art work? Answer:,composition,"Composition.
Answer the question conc",0.7778521776199341
9117,Answer the question concisely with only the answer: when was the last time we had a 5 star general? Answer:,1981,"1989.
The last",0.7822660207748413
9118,Answer the question concisely with only the answer: when did we drop the atomic bomb on hiroshima? Answer:,"August, 1945","August 6, 194",1.0
9119,Answer the question concisely with only the answer: when is game of thrones season 7 episode 7 releasing? Answer:,"July 16, 2017","July 30, 201",0.9785093069076538
9120,Answer the question concisely with only the answer: where is the rhone river located in europe? Answer:,"Southeastern France, Swiss canton of Calais","Southern Europe, specifically in the",0.7102345824241638
9121,Answer the question concisely with only the answer: when does luke cage season 2 come to netflix? Answer:,"June 22, 2018","June 22, 201",0.8382812738418579
9122,Answer the question concisely with only the answer: when does the curling start at the olympics? Answer:,Held between and 25 February 2018,Typically around February 10th,0.5224831700325012
9123,Answer the question concisely with only the answer: when did gps become available for civilian use? Answer:,1980s,1996. when did,0.813849687576294
9124,Answer the question concisely with only the answer: what kind of writing is in the bible? Answer:,Sacred texts or scriptures,"Narrative, poetic, prophetic",0.7219421863555908
9125,Answer the question concisely with only the answer: who won the first world series of poker held at binions? Answer:,Johnny Moss,Stu Ungar. Who,0.7155022621154785
9126,Answer the question concisely with only the answer: what is the name of the very first video uploaded to youtube? Answer:,Me at the zoo,"""Me at the zoo"".",0.8867484331130981
9127,Answer the question concisely with only the answer: who has the most double doubles in nba playoff history? Answer:,Tim Duncan,Russell Westbrook. Russell Westbrook has,0.7350384593009949
9128,Answer the question concisely with only the answer: when does a lesson before dying take place? Answer:,In 1945 and 1947,In the 1940s,0.7586740851402283
9129,Answer the question concisely with only the answer: where did the story of romeo and juliet take place? Answer:,"Verona, Italy","Verona, Italy.",0.8403314352035522
9130,Answer the question concisely with only the answer: during the colonial era what was the principal occupation in the english colonies? Answer:,farmers,Agriculture. Thank you for your,0.4982050359249115
9131,Answer the question concisely with only the answer: where was the las vegas shooting what hotel? Answer:,Mandalay Bay hotel,The Mandalay Bay Resort and,0.7151995897293091
9132,Answer the question concisely with only the answer: when do we change from bst to gmt? Answer:,At 01 : 00 GMT (02 : 00 BST) on the last Sunday of October,October 31st.,0.6804565191268921
9133,Answer the question concisely with only the answer: when does star wars open in hollywood studios? Answer:,2019,Star Wars: Galaxy's Edge,0.9077930450439453
9134,Answer the question concisely with only the answer: when did the us get the ohio river valley? Answer:,Treaty of Paris (1783),"1783.
When Did",0.8308808207511902
9135,Answer the question concisely with only the answer: national center for mental health philippines official website? Answer:,www.ncmh.gov.ph,[www.doh.gov.ph,0.8920852541923523
9136,Answer the question concisely with only the answer: by which name does the brahmaputra enter into india? Answer:,Manes River,Yarlung Tsangpo.,0.8015975952148438
9137,Answer the question concisely with only the answer: who is considered as the father of geometry? Answer:,Euclid,Euclid. 0,0.6071872711181641
9138,Answer the question concisely with only the answer: all the countries who have won the world cup? Answer:,"Brazil, Germany, Italy, Argentina, France, Uruguay, England, Spain","Brazil, Germany, Italy,",0.9012772440910339
9139,Answer the question concisely with only the answer: when does the new death wish movie come out? Answer:,"Scheduled to be released on November 22, 2017","The new Death Wish movie,",0.7905356287956238
9140,Answer the question concisely with only the answer: who did the ming dynasty take control after? Answer:,Yuan dynasty,The Mongol-led Yuan dynasty,0.6359710693359375
9141,Answer the question concisely with only the answer: book that led to the meat inspection act? Answer:,The Jungle,"Upton Sinclair's ""The",0.8541030883789062
9142,Answer the question concisely with only the answer: p diddy nicki minaj hello good morning lyrics? Answer:,Official Remix,"Hello good morning, p did",0.5573549270629883
9143,Answer the question concisely with only the answer: who was president of the united states when goals 2000 was initiated? Answer:,Bill Clinton,"Bill Clinton.
Who was president",0.6949743628501892
9144,Answer the question concisely with only the answer: structural adjustment policy was introduced by india on taking loan from? Answer:,"International Monetary Fund, World Bank",world bank. Structural adjustment policy,0.7233710289001465
9145,Answer the question concisely with only the answer: who acted in the original star is born? Answer:,"Janet Gay nor, Fredric March","Judy Garland. 
Answer the",0.7548788785934448
9146,Answer the question concisely with only the answer: when did canada and the us become allies? Answer:,World War II,"1778, with the",0.7670183181762695
9147,Answer the question concisely with only the answer: name the landforms that form the boundaries of the peninsular plateau? Answer:,"Western Ghats, Eastern Ghats","Aravalli Range, Sat",0.5899626016616821
9148,Answer the question concisely with only the answer: voice of the t rex in toy story? Answer:,Wallace Michael Shawn,"Rex. 
The question asked",0.482751727104187
9149,Answer the question concisely with only the answer: where was the g20 summit held in 2017? Answer:,"Hamburg, Germany","Hamburg, Germany. was the",0.8537168502807617
9150,Answer the question concisely with only the answer: who was awarded the nobel prize for the discovery that genes can change position on chromosomes? Answer:,Barbara McClintock,"Barbara McClintock.
Answer",0.8848813772201538
9151,Answer the question concisely with only the answer: when did facebook go on the stock market? Answer:,"Friday, May 18, 2012","May 18, 201",0.9778393507003784
9152,Answer the question concisely with only the answer: where does the final battle in julius caesar take place? Answer:,In the plain,The final battle in Julius Caesar,0.9531201124191284
9153,Answer the question concisely with only the answer: when does brian come back to family guy? Answer:,Christmas Guy,"Season 2. 
Note",0.6150408983230591
9154,Answer the question concisely with only the answer: who plays zack and cody's mom on suite life? Answer:,Kimberly `` Kim '' Rhodes,"Lori Alan. 
Answer the",0.7622048854827881
9155,Answer the question concisely with only the answer: when did wonder woman get a sword and shield? Answer:,The New 52,"2017
Answer the",0.6261969804763794
9156,Answer the question concisely with only the answer: when were the lord of the rings filmed? Answer:,Between 11 October 1999 and 22 December 2000,The Lord of the Rings was,0.7012168765068054
9157,Answer the question concisely with only the answer: who plays santa claus in rise of the guardians? Answer:,Alec Baldwin,"Alec Baldwin. 
Alec",0.7896136045455933
9158,Answer the question concisely with only the answer: where did peter pumpkin eater put his wife? Answer:,In a pumpkin shell,In a pumpkin. Source:,0.7448727488517761
9159,Answer the question concisely with only the answer: who played dr frankenstein in once upon a time? Answer:,David Andes,"Robert Carlyle. 
Answer",0.8237456679344177
9160,Answer the question concisely with only the answer: what episode does sister jude sing the name game? Answer:,`` The Name Game '',"Season 7, Episode",0.8017898797988892
9161,Answer the question concisely with only the answer: what is the meaning of erp in tally? Answer:,Enterprise resource planning,ERP in Tally stands for,0.7061631083488464
9162,Answer the question concisely with only the answer: who played bass in crosby stills and nash? Answer:,Greg Reeves,"Greg Reeves. 
Answer the",0.7879986763000488
9163,Answer the question concisely with only the answer: where were the anzacs supposed to land at gallipoli? Answer:,Gladioli Peninsula,"Cape Helles.
Answer the",0.6964468955993652
9164,Answer the question concisely with only the answer: what mechanism do you use to send a soap message over http? Answer:,XML Information Set,"HTTPS.

Explanation:  HTTPS",0.3838961124420166
9165,Answer the question concisely with only the answer: movie with will smith and tommy lee jones? Answer:,Men in Black,"Men in Black.
Men in",0.838355302810669
9166,Answer the question concisely with only the answer: when does new girl season 6 come out? Answer:,"September 20, 2016","September 19, 201",0.7521755695343018
9167,Answer the question concisely with only the answer: the process of changing fatty acids to several molecules of acetyl coa is called? Answer:,Beta oxidation,"Beta-oxidation.
Beta",0.6784443259239197
9168,Answer the question concisely with only the answer: why we do not eat egg with silver spoon? Answer:,Because the sulfur in eggs cause silver to tarnish,Because silver and egg are not,0.43566083908081055
9169,Answer the question concisely with only the answer: who plays petyr baelish in game of thrones? Answer:,Aidan Gilles,Maise Williams. Who is,0.5751644372940063
9170,Answer the question concisely with only the answer: life insurance which provides for payment only if the insured dies within a specific time period is? Answer:,Term life insurance or term assurance,"Term life insurance.

## Step",0.758232593536377
9171,Answer the question concisely with only the answer: when does tekken 7 come out in america? Answer:,June 2017,"March 28th,",0.7800865173339844
9172,Answer the question concisely with only the answer: how did they film zero gravity in apollo 13? Answer:,"A KC - 135 airplanes, Which can be flown in such a way as to create about 23 seconds of weightlessness, A method NASA has always used to train its astronauts for space flight",Using a water tank and a,0.6595984101295471
9173,Answer the question concisely with only the answer: who is having the highest followers on instagram? Answer:,"Instagram's own account, With over 235 million followers",Cristiano Ronaldo. (Note:,0.7513216733932495
9174,Answer the question concisely with only the answer: who has played the longest in the nba? Answer:,"Robert Parish, Kevin Willis, Kevin Garrett",Kareem Abdul-Jabbar,0.9815454483032227
9175,Answer the question concisely with only the answer: where is the headquarter of microsoft office located? Answer:,"Redmond, Washington","Redmond, Washington.",0.9264630675315857
9176,Answer the question concisely with only the answer: who ruled during the golden age of the abbasid caliphate? Answer:,Ha run all - Rashid,Al-Ma'mun.,0.7412207126617432
9177,Answer the question concisely with only the answer: state the general molecular formula for a monosaccharide? Answer:,C NH n O n,Cx(H2O)y,0.8677458167076111
9178,Answer the question concisely with only the answer: what is the most important night of hanukkah? Answer:,Last day of Hanukkah,The 8th night of,0.7748245000839233
9179,Answer the question concisely with only the answer: in order to be elected president of the united states a candidate must win? Answer:,A majority of electoral votes among the states,A majority of the electoral votes,0.8553515672683716
9180,Answer the question concisely with only the answer: where is the origin of a muscle found? Answer:,"The bone, Typically proximal, Which has greater mass and is more stable during a contraction than a muscle's insertion",At the point where the muscle,0.6850976943969727
9181,Answer the question concisely with only the answer: who plays aunt gayle in bob's burgers? Answer:,Megan Mulally,Wendy Molyneux.,0.8955463767051697
9182,Answer the question concisely with only the answer: who played the role of shahid khan in gangs of wasseypur? Answer:,Jaiden Alleyway,Manoj Bajpayee,0.9093336462974548
9183,Answer the question concisely with only the answer: what is the area code of jeddah saudi arabia? Answer:,012,"012

## Step",0.7928249835968018
9184,Answer the question concisely with only the answer: who was the original singer of knocking on heavens door? Answer:,Bob Dylan,Bob Dylan. who was the,0.7118887901306152
9185,Answer the question concisely with only the answer: when was mercaptan first added to natural gas? Answer:,1937,"1956. 
Answer",0.6768785715103149
9186,Answer the question concisely with only the answer: when did china become a member of the united nations? Answer:,"October 24, 1945","1971.
China became",0.5462343096733093
9187,Answer the question concisely with only the answer: what's the steering wheel on a plane called? Answer:,"A yoke, Alternatively known as a control wheel","Yoke.
What's the",0.6970011591911316
9188,Answer the question concisely with only the answer: what are three other names for makar sankranti? Answer:,"Mafia, Gujarat, Math BHU",Poush Sankr,0.9441475868225098
9189,Answer the question concisely with only the answer: when is season 4 of htgawm coming out? Answer:,"September 28, 2017",There is no official release date,0.9232596158981323
9190,Answer the question concisely with only the answer: who plays dawn on ricky nicky dicky and dawn? Answer:,Lizzy Greene,"Lizzy Greene.
Who plays",0.744072437286377
9191,Answer the question concisely with only the answer: where was i am not a serial killer filmed? Answer:,"Virginia, Minnesota",Various locations in South Africa.,0.6226015686988831
9192,Answer the question concisely with only the answer: who wrote the lyrics to let it be? Answer:,Paul McCartney,"Paul McCartney. 
Who wrote",0.845470666885376
9193,Answer the question concisely with only the answer: what does the sun represent in greek mythology? Answer:,Helios,"Life, power, and the",0.6132791042327881
9194,Answer the question concisely with only the answer: what year did jordan come out of retirement? Answer:,"1995, 2001","1995. 
What",0.8528951406478882
9195,Answer the question concisely with only the answer: who sings voi che sapete in the marriage of figaro? Answer:,Cherubim,Cecilia Bartoli.,0.7325594425201416
9196,Answer the question concisely with only the answer: who plays juliet's mother in romeo and juliet 1996? Answer:,Diane Venora,"Diana Rigg. 
The",0.5749538540840149
9197,Answer the question concisely with only the answer: what is the empirical formula of a compound? Answer:,The simplest positive integer ratio of atoms present in a compound,The empirical formula of a compound,0.9136883616447449
9198,Answer the question concisely with only the answer: what continent is new zealand part of map? Answer:,Zealand,"Oceania.
Answer the",0.8186613917350769
9199,Answer the question concisely with only the answer: where is area code 845 located in usa? Answer:,The Hudson Valley region of the U.S. state of New York,"New York. 
What is",0.7326834201812744
9200,Answer the question concisely with only the answer: who becomes the governor in sons of fortune? Answer:,Fletcher,Augustus Van Cortlandt,0.6646286845207214
9201,Answer the question concisely with only the answer: where is fiji located in the world map? Answer:,"Island country in Melanesia in the South Pacific Ocean about, 100 nautical miles (,000 km ;, 300 mi) northeast of New Zealand",Fiji is located in the South,0.8367286920547485
9202,Answer the question concisely with only the answer: who identified five major dimensions of national culture as they apply to human resource management? Answer:,Hofstede,"Hofstede.
The five",0.5568352937698364
9203,Answer the question concisely with only the answer: how many seasons of marco polo will there be? Answer:,Two seasons,"6

Explanation: The",0.5092341303825378
9204,Answer the question concisely with only the answer: when did sonny corinthos come to general hospital? Answer:,"August 13, 1993",1993. The question,0.6270297765731812
9205,Answer the question concisely with only the answer: what is the highest resolution that hdmi 2.0 can support? Answer:,K video at 60 Hz with 24 bit / PX color depth,15360 x 864,0.9422022104263306
9206,Answer the question concisely with only the answer: when was the first time the word catholic was used? Answer:,In the early ND century,"105 AD. 
When",0.5056376457214355
9207,Answer the question concisely with only the answer: who is playing in the 2017 nfl hall of fame game? Answer:,Dallas Cowboys and the Arizona Cardinals,The Denver Broncos and the Atlanta,0.7920150756835938
9208,Answer the question concisely with only the answer: when will call of duty ghosts 2 be released? Answer:,2013,There is no official release date,0.9495099782943726
9209,Answer the question concisely with only the answer: what county is fort bragg north carolina in? Answer:,"Cumberland, Hoke, Barnett, Moore","Cumberland County.
Fort Bragg",0.7260672450065613
9210,Answer the question concisely with only the answer: when does the next series of lucky man start? Answer:,20 July 2018,"2023.
Answer the",0.563853919506073
9211,Answer the question concisely with only the answer: when did the first kitchenaid mixer come out? Answer:,1918,1919. Answer the,0.8112806081771851
9212,Answer the question concisely with only the answer: when was the first afl game played in australian? Answer:,During the late 1890s,"1897. 
When",0.8101824522018433
9213,Answer the question concisely with only the answer: role of epithelial tissue in the digestive system? Answer:,Absorbing helpful substances and providing a barrier against harmful substances,It aids in the absorption of,0.48390620946884155
9214,Answer the question concisely with only the answer: where does each stage of photosynthesis occur in the cell? Answer:,"The stoma, The fluid - filled area of a chloroplast outside the thylakoid membranes",The light-dependent reactions occur in,0.8166992664337158
9215,Answer the question concisely with only the answer: how many episodes is alex in season 6? Answer:,episodes,"22 episodes. 
Note",0.6947586536407471
9216,Answer the question concisely with only the answer: where is the tonight show jimmy fallon filmed? Answer:,NBC Studio - B at 30 Rockefeller Plaza in New York City,"NBC Studios in Rockefeller Center,",0.8581832647323608
9217,Answer the question concisely with only the answer: what is the most rare myers briggs personality type? Answer:,INTJ,"INFJ. 
What is",0.7069548964500427
9218,Answer the question concisely with only the answer: what part of the pig does jowl come from? Answer:,cheeks,"The cheek. 

## Step",0.5889896750450134
9219,Answer the question concisely with only the answer: what is the meaning of intertropical convergence zone? Answer:,"The area encircling Earth near the Equator, Where the northeast and southeast trade winds converge",A belt of low pressure near,0.6341608762741089
9220,Answer the question concisely with only the answer: who does michael scott end up with on the office? Answer:,Holly Flax,"Holly Flax. 

Note",0.6800752878189087
9221,Answer the question concisely with only the answer: who is the longest serving parliamentarian in canada's history? Answer:,Wilfred Laurie,Joe Clark. (Source:,0.6193066835403442
9222,Answer the question concisely with only the answer: who has been chosen as the brand ambassador of the campaign 'beti bachao beti padhao'? Answer:,Olympics 2016 bronze medalist Saks hi Malik,Priyanka Chopra.,0.750785768032074
9223,Answer the question concisely with only the answer: when was central statistical organisation of india established? Answer:,May 1951,1951. Step,0.8452975153923035
9224,Answer the question concisely with only the answer: what is the name of the person who collects stamps? Answer:,Stamp collector,"Philatelist.
Answer the",0.7885395288467407
9225,Answer the question concisely with only the answer: when was the first radio put in a car? Answer:,1904,"1930.
Answer the",0.8085980415344238
9226,Answer the question concisely with only the answer: who wrote the song it's time to say goodbye? Answer:,Francesco Satori (music) and Lucio Quarantotto (lyrics),"Frank Sinatra. 
What is",0.6035098433494568
9227,Answer the question concisely with only the answer: when did the newest star wars movie come out? Answer:,2017,"2019. 
Answer",0.6197478771209717
9228,Answer the question concisely with only the answer: when did the first goosebumps book come out? Answer:,July 1992,"1992. 
The",0.9221057295799255
9229,Answer the question concisely with only the answer: doctor who fell in love with dead patient? Answer:,Carl Taller,Dr. Frankenstein. -,0.7326549291610718
9230,Answer the question concisely with only the answer: who is the original singer of mary did you know? Answer:,Christian recording artist Michael English,Pentatonix was not the,0.7306281328201294
9231,Answer the question concisely with only the answer: who made the song war what is it good for? Answer:,The Temptations,"Edwin Starr. 
Who made",0.8132681250572205
9232,Answer the question concisely with only the answer: when does burke come back in grey's anatomy? Answer:,In the tenth season,"Season 11, Episode",0.6985174417495728
9233,Answer the question concisely with only the answer: who played duncan in life on the line? Answer:,Devon Saw,John Cusack. who,0.6408939361572266
9234,Answer the question concisely with only the answer: when does the real season of nfl start? Answer:,"September, 2017","Late September. 
When does",0.5578654408454895
9235,Answer the question concisely with only the answer: the temperature coefficient of most of the reaction lies between? Answer:,&,0.02-0,0.7862851023674011
9236,Answer the question concisely with only the answer: what is the liquid in the brain called? Answer:,Cerebrospinal fluid,Cerebrospinal fluid,0.9778393507003784
9237,Answer the question concisely with only the answer: what is the airport code for panama city florida? Answer:,"IATA : ECP, ICAO : KEEP, FAA LID : ECP",PAF. What is the,0.7423445582389832
9238,Answer the question concisely with only the answer: who plays tracey in birds of a feather? Answer:,Linda Robson,"Tess Wyler. 
Answer",0.6872715950012207
9239,Answer the question concisely with only the answer: who sings a million ways to die in the west? Answer:,Alan Jackson,Seth MacFarlane.,0.9123668670654297
9240,Answer the question concisely with only the answer: when did the go pro hero 6 come out? Answer:,"September 28, 2017","September 29, 201",0.8596076965332031
9241,Answer the question concisely with only the answer: who does elena end up with in bitten? Answer:,Clay,"Stefan. 
Who does Elena",0.6708595752716064
9242,Answer the question concisely with only the answer: where is daniel mentioned in the new testament? Answer:,Matthew 24 : 15,"Matthew 1:6,",0.7326516509056091
9243,Answer the question concisely with only the answer: where are prions found in the human body? Answer:,The brain or other neural tissue,In the brain and nervous system,0.796144425868988
9244,Answer the question concisely with only the answer: where did the battle of siffin take place? Answer:,"On the banks of the Euphrates river, In what is now Rama, Syria","Basra, Iraq.",0.661869466304779
9245,Answer the question concisely with only the answer: where did they film so you think you can dance? Answer:,Vegas,"Los Angeles, California.
The",0.7127866744995117
9246,Answer the question concisely with only the answer: who played bosley in the original charlie's angels? Answer:,David Doyle,"David Doyle. 
Who played",0.8512516021728516
9247,Answer the question concisely with only the answer: where did the invasion of normandy take place? Answer:,June 1944,"Normandy, France.",0.9121185541152954
9248,Answer the question concisely with only the answer: who is considered the founder of north american anthropology? Answer:,Franz URI Boas,"Lewis Henry Morgan. 
Lewis",0.716585099697113
9249,Answer the question concisely with only the answer: first book printed in the philippines published in manila by dominican friars? Answer:,A Chinese language catechism,Doctrina Christiana.,0.8807365298271179
9250,Answer the question concisely with only the answer: whats the composition of the earth's crust? Answer:,An average composition similar to that of despite,The composition of the earth's,0.7397193908691406
9251,Answer the question concisely with only the answer: when was the first ever baseball game played? Answer:,1749,"1846. 
When",0.7856615781784058
9252,Answer the question concisely with only the answer: who went to the lakers first shaq or kobe? Answer:,Kobe Bryant,"Shaq. 
Who went",0.8866154551506042
9253,Answer the question concisely with only the answer: where is air vented from a hydronic heating system? Answer:,Valves located on radiators throughout the heated area,From the radiator or heat ex,0.6449356079101562
9254,Answer the question concisely with only the answer: who was executed by british for being american spy? Answer:,Nathan Hale,Nathan Hale. who was executed,0.7197738885879517
9255,Answer the question concisely with only the answer: who played the doctor on little house on the prairie? Answer:,Kevin Hagen,"Michael Landon.
The title",0.5600799918174744
9256,Answer the question concisely with only the answer: when was regular television broadcasting first introduced to the public? Answer:,"November, 1936","1926. 
Answer",0.7526378035545349
9257,Answer the question concisely with only the answer: where is the optic nerve located in the eye? Answer:,"From the optic disc to the optic chiasm and continues as the optic tract to the lateral geniculate nucleus, Pretectal nuclei, And superior calculus",In the back of the eye,0.8530162572860718
9258,Answer the question concisely with only the answer: who played mayella in to kill a mockingbird? Answer:,Collin Wilcox,"Estelle Evans. 
Answer",0.6971737146377563
9259,Answer the question concisely with only the answer: who can removed by the president without parliament resolution? Answer:,judges,The Chief Justice of India.,0.8250837326049805
9260,Answer the question concisely with only the answer: what episode does deeks and kensi get together? Answer:,In season six,"Season 5, Episode",0.8305791616439819
9261,Answer the question concisely with only the answer: who wrote beat it on down the line? Answer:,Jesse Fuller,"1967, by Bob",0.2944827675819397
9262,Answer the question concisely with only the answer: how many square feet were the twin towers? Answer:,"World Trade Center, At, 368 feet (417 m), World Trade Center, At, 362 feet (415. m)","3,800,000",0.6670303344726562
9263,Answer the question concisely with only the answer: who inspired the swiss guard uniform that is still worn today? Answer:,16th - century depictions of the Swiss Guard,"Pope Julius II. 
The",0.6475943922996521
9264,Answer the question concisely with only the answer: the constitution separates the power of the federal government by? Answer:,"Three separate branches, Each of which would have defined abilities to check the powers of the others",into three branches. The three,0.611890435218811
9265,Answer the question concisely with only the answer: who plays harry bosch in the amazon series? Answer:,Titus Deliver,Titus Welliver.,0.9326538443565369
9266,Answer the question concisely with only the answer: how far has the opportunity rover traveled during its time on mars? Answer:,45.09 kilometers (28.02 miles),Approximately 45 miles (72,0.5885787606239319
9267,Answer the question concisely with only the answer: who decided to use agent orange in vietnam? Answer:,"President NGO Dish Diem of South Vietnam, President John F. Kennedy",The U.S. military decided,0.8329851031303406
9268,Answer the question concisely with only the answer: who is the owner of united spirits limited? Answer:,Diageo,United Breweries Group. Note,0.594946026802063
9269,Answer the question concisely with only the answer: when is the first curse broken once upon a time? Answer:,The first season finale,In the Pilot. When is,0.3491534888744354
9270,Answer the question concisely with only the answer: who was the president in 1886 when the statue of liberty was dedicated? Answer:,"President Grover Cleveland, The former New York governor","Grover Cleveland.
Answer the",0.8675779700279236
9271,Answer the question concisely with only the answer: what is the meaning of j c b? Answer:,Joseph Cyril Basford,"Just Call Back.
What does",0.7526888847351074
9272,Answer the question concisely with only the answer: when was ethnomethodology used for the first time? Answer:,1954,"1967. 
The",0.6873125433921814
9273,Answer the question concisely with only the answer: who played diane on young and the restless? Answer:,"Alex Donnelly, Susan Walters, Maura West","Michelle Stafford. 
Michelle Stafford",0.8296297788619995
9274,Answer the question concisely with only the answer: who played dr. mccoy in the new star trek? Answer:,Karl - Heinz Urban,J.J. Abrams cast Karl,0.6345979571342468
9275,Answer the question concisely with only the answer: when did coke try to change their formula? Answer:,April 1985,"1985. 
In",0.850089430809021
9276,Answer the question concisely with only the answer: who does the 2017 monday night football song? Answer:,"Hank Williams, Jr.","Kirk Franklin. 
Who does",0.6961771249771118
9277,Answer the question concisely with only the answer: who is faith on the young and the restless? Answer:,Alvin Alan Lind,"Faith Newman, played by actress",0.6558487415313721
9278,Answer the question concisely with only the answer: nearest metro station to majnu ka tilla delhi? Answer:,Kashmiri Gate,Guru Teg Bahadur,0.8425180912017822
9279,Answer the question concisely with only the answer: largest stock exchanges in africa by market capitalisation? Answer:,"Casablanca Stock Exchange, Johannesburg Stock Exchange, EX, Nigerian Stock Exchange, Namibian Stock Exchange, Zimbabwe Stock Exchange, African Exchange",The largest stock exchanges in Africa,0.8416866064071655
9280,Answer the question concisely with only the answer: where is archangel raphael mentioned in the bible? Answer:,John : --,Tobit 3:25,0.9252265691757202
9281,Answer the question concisely with only the answer: when is series 9 of masterchef australia on in uk? Answer:,On May 2017,Series 9 of MasterChef,0.8919001817703247
9282,Answer the question concisely with only the answer: when does justice league come out in mexico? Answer:,"November 17, 2017","December 15, 201",0.8394111394882202
9283,Answer the question concisely with only the answer: what is the genre of a room of one's own? Answer:,An extended essay,"feminist literary fiction. 
What",0.5214435458183289
9284,Answer the question concisely with only the answer: who made the city of babylon the center of an empire? Answer:,Favorite king Hammurabi,"Hammurabi.
Who made",0.7764807939529419
9285,Answer the question concisely with only the answer: who hosted the first to tell the truth? Answer:,Mike Wallace,The first person to tell the,0.7324175834655762
9286,Answer the question concisely with only the answer: what does the blue square on the american flag mean? Answer:,The `` union '',The blue square on the American,0.8652597665786743
9287,Answer the question concisely with only the answer: when was the first speed camera introduced in the uk? Answer:,1991,1991. when was,0.7445887923240662
9288,Answer the question concisely with only the answer: the president of the texas senate also functions as the state’s? Answer:,Lieutenant governor,lieutenant governor. Source: https,0.6307629346847534
9289,Answer the question concisely with only the answer: where is the original statue of liberty torch? Answer:,Statue of Liberty museum on Liberty Island,the new york harbor museum.,0.6612658500671387
9290,Answer the question concisely with only the answer: who writes the script for big bang theory? Answer:,"Chuck Lorre, Bill Pray, Steven Molar",Chuck Lorre and Lee Ar,0.8551474809646606
9291,Answer the question concisely with only the answer: who wrote the song i like the sound of that? Answer:,"Jesse Erasure, Meghan Trainer, Shay Mooney",The Alan Parsons Project.,0.6760825514793396
9292,Answer the question concisely with only the answer: when did german bombers drop bombs on london? Answer:,1940 and 1941,"During the Blitz, from September",0.7750228643417358
9293,Answer the question concisely with only the answer: when did i took a pill in ibiza come out? Answer:,"July 24, 2015","2009.
Answer the",0.6080482006072998
9294,Answer the question concisely with only the answer: why do we need to give up something for lent? Answer:,In order to replicate the sacrifice of Jesus Christ's journey into the desert for 40 days,To reflect on our priorities and,0.589388370513916
9295,Answer the question concisely with only the answer: when did the us government stop using silver in coins? Answer:,"July 23, 1965, 1970","1965.
Answer the",0.8781185150146484
9296,Answer the question concisely with only the answer: who is the lead singer of peaceful easy feeling? Answer:,Glenn Lewis Frey,"The Eagles. 
The Eagles",0.7618209719657898
9297,Answer the question concisely with only the answer: a flat utensil on which we food to eat? Answer:,spade,"Plate.
What is the name",0.4831341505050659
9298,Answer the question concisely with only the answer: where do you find the engine number on a car? Answer:,On the engine,The engine number is usually found,0.6939854025840759
9299,Answer the question concisely with only the answer: who sings the song find out who your friends are? Answer:,Tracy Lawrence,Bill Withers. Answer the,0.6460750699043274
9300,Answer the question concisely with only the answer: who sang the original song i only have eyes for you? Answer:,Dick Powell and Ruby Keeper,The Flamingos.,0.8803648948669434
9301,Answer the question concisely with only the answer: when did the industrial revolution start in britian? Answer:,About 1760,1760. when did,0.7164954543113708
9302,Answer the question concisely with only the answer: who takes over after a president is impeached? Answer:,Vice president,The Vice President. Source:,0.7667528390884399
9303,Answer the question concisely with only the answer: a hydrocarbon with a double bond is an? Answer:,alkenes,"Unsaturated.
Answer the question",0.6593923568725586
9304,Answer the question concisely with only the answer: how many rows of teeth to sharks have? Answer:,The average shark having about 15 rows of teeth in each jaw,5 rows of teeth.,0.7990778684616089
9305,Answer the question concisely with only the answer: who is the current law and justice minister of pakistan? Answer:,Mr. Zahid Hamid,Rana Sanaullah.,0.9230318069458008
