Unnamed: 0,questions,short_answers,responses,matches
13101,Answer the question concisely with only the answer: who has won the fa cup the most times premier teams? Answer:,Arsenal,Manchester United and Arsenal have won,1
13102,Answer the question concisely with only the answer: who is steppenwolf in the justice league movie? Answer:,Ciara Hinds,"Ares. 
Answer the",0
13103,Answer the question concisely with only the answer: who has been in the most episodes of eastenders? Answer:,Adam Woodgate,"Pauline Fowler, played by",0
13104,Answer the question concisely with only the answer: when did the french and indian war officially start? Answer:,1754,"1754.

The French",1
13105,Answer the question concisely with only the answer: when did the first snow white movie come out? Answer:,1937,"1937. 
The",1
13106,Answer the question concisely with only the answer: who was indian president when first nuclear test were conduct? Answer:,Dr. Abdul Adam,Dr. Rajendra Prasad,1
13107,Answer the question concisely with only the answer: why coal came to be the dominant fuel source during the industrial revolution? Answer:,To power steam engines,Coal was a readily available and,0
13108,Answer the question concisely with only the answer: where do red eyed tree frogs come from? Answer:,"Neotropical rainforests where it ranges from Mexico, Through Central America, To Colombia",Central and South America.,1
13109,Answer the question concisely with only the answer: when did civil rights movement begin and end? Answer:,1954 -- 1968,The civil rights movement began in,0
13110,Answer the question concisely with only the answer: who is belle's father in beauty and the beast movie? Answer:,Maurice,"Maurice. 
Belle's",1
13111,Answer the question concisely with only the answer: where is the setting of the movie no escape? Answer:,"Chiang Mai, Thailand","Thailand and Laos. 
The",1
13112,Answer the question concisely with only the answer: who wrote the song you only live twice? Answer:,"Composer John Barry, With lyrics by Leslie Bricks","Bond, John Barry.",1
13113,Answer the question concisely with only the answer: when did the round pound come into circulation? Answer:,1984,"1983. 
When",0
13114,Answer the question concisely with only the answer: what is the definition of assessment in education? Answer:,"The systematic process of documenting and using empirical data on the knowledge, skill, attitudes, And beliefs to refine programs and improve student learning",The definition of assessment in education,1
13115,Answer the question concisely with only the answer: who was the first drafted player for the sounders? Answer:,Sébastien Le Tour,"Brad Evans. 
Who was",0
13116,Answer the question concisely with only the answer: who is the actor who plays liam in benidorm? Answer:,Adam Gilles,"Steve Pemberton. 
Answer",0
13117,Answer the question concisely with only the answer: who played stuart brooks on young and restless? Answer:,Robert Colbert,"Michael Damian. 
Answer the",0
13118,Answer the question concisely with only the answer: how many time zones across the united states? Answer:,nine,"6.
How Many Time",0
13119,Answer the question concisely with only the answer: where did the mount st helens eruption happen? Answer:,"Ska mania County, In the State of Washington","Washington State.
Answer the question",1
13120,Answer the question concisely with only the answer: meaning of the song 21 guns by green day? Answer:,21 - gun salute for someone that's fallen,"The song ""21 Guns""",1
13121,Answer the question concisely with only the answer: what impact did the korean war have on u.s. military spending? Answer:,Increased it,The Korean War led to a,0
13122,Answer the question concisely with only the answer: where are alkaline earth metals located on the periodic table? Answer:,group,"Group 2.

## Step",1
13123,Answer the question concisely with only the answer: who sides with captain america in civil war? Answer:,"Maximoff, Clint Barton, Scott Lang, Roman off, Barnes, Wilson","Iron Man, Black Widow,",0
13124,Answer the question concisely with only the answer: who was painted the paintings during the pink period? Answer:,Pablo Picasso,Vincent van Gogh.,0
13125,Answer the question concisely with only the answer: what conditions are typical of high pressure cells in the northern hemisphere? Answer:,"Light winds at the surface, Clear skies, Temperatures rise, Diurnal low temperatures in all seasons, Widespread haze, Low level relative humidity",High pressure cells in the northern,1
13126,Answer the question concisely with only the answer: what is a pivot joint in the body? Answer:,A type of synovial joint,A hinge joint that connects two,1
13127,Answer the question concisely with only the answer: who voices yuri katsuki in the english dub? Answer:,Joshua Grille,"Justin Briner. 
Answer",0
13128,Answer the question concisely with only the answer: what do the bars on a climate graph represent? Answer:,The range of temperature (average of minimum and maximum temperatures),Temperature fluctuations over time.,1
13129,Answer the question concisely with only the answer: what is the name of happy feet's main character? Answer:,Mumble,"Mumble.
Answer the question",1
13130,Answer the question concisely with only the answer: who does the voice of roger in american dad? Answer:,Seth Macfarlane,Seth MacFarlane.,1
13131,Answer the question concisely with only the answer: the maximum window of time a fibrinolytic can be administered​ is? Answer:,-- hours of the infarction,3 months.​,0
13132,Answer the question concisely with only the answer: where was the first harvey's restaurant located? Answer:,"At the southeast corner of Yong Street and Observatory Lane in Richmond Hill, Ontario","Santa Barbara, California.",0
13133,Answer the question concisely with only the answer: a bacterial or viral infection of the throat is known as? Answer:,Pharyngitis,"Pharyngitis.
Ph",1
13134,Answer the question concisely with only the answer: who can certify documents in the united states? Answer:,Notary public,"Notaries public, attorneys,",1
13135,Answer the question concisely with only the answer: when did the day after thanksgiving become black friday? Answer:,1952,"1951.
When did",0
13136,Answer the question concisely with only the answer: how many teams make the division 3 football playoffs? Answer:,32,8. Explanation: The,0
13137,Answer the question concisely with only the answer: when does king david first appear in the bible? Answer:,The first book of Samuel,In 1 Samuel 16,1
13138,Answer the question concisely with only the answer: what is callie's job on grey's anatomy? Answer:,Attending orthopedic surgeon,"Pediatric surgeon. 
Callie",1
13139,Answer the question concisely with only the answer: who is the main character in gone with the wind? Answer:,Scarlett O'Hara,Scarlett O'Hara.,1
13140,Answer the question concisely with only the answer: when does the new jersey governor take over? Answer:,"January 16, 2018","January 21, 202",1
13141,Answer the question concisely with only the answer: who was the first to record the song tainted love? Answer:,Gloria Jones,"Gloria Jones. 
Who was",1
13142,Answer the question concisely with only the answer: who sang why does the sun keep on shining? Answer:,Skeeter Davis,The Wiggles. who,0
13143,Answer the question concisely with only the answer: who composed the theme song for game of thrones? Answer:,Rain Hawaii,Ramin Djawadi.,0
13144,Answer the question concisely with only the answer: a koh test is often used to determine the presence of? Answer:,"dermatophytes, Candida albicans",Carboxylic acids.,0
13145,Answer the question concisely with only the answer: who played ba baracus in the a-team movie? Answer:,Quinton Jackson,Mr T. was the actor,0
13146,Answer the question concisely with only the answer: who played the voice of the tiger in jungle book 2016? Answer:,Idris Elba,Bill Murray. Next question.,0
13147,Answer the question concisely with only the answer: when do we vote for governor in ca? Answer:,"November, 2018","November 8, 202",1
13148,Answer the question concisely with only the answer: who sang the eight is enough theme song? Answer:,Grant Good eve,Grant Goodeve.,1
13149,Answer the question concisely with only the answer: where does the title a thousand splendid suns come from? Answer:,Line in the Josephine Davis translation of the poem `` Kabul '',The title is inspired by a,1
13150,Answer the question concisely with only the answer: ratio of girl and boy in world 2017? Answer:,.06 males / female,1.04 girl per,0
13151,Answer the question concisely with only the answer: who sings the theme song for laverne & shirley? Answer:,Hindi Greece,Penny Marshall and Cindy Williams.,0
13152,Answer the question concisely with only the answer: who did the voice of mittens in bolt? Answer:,Susie Essay,"Mark Walton. 
Who did",0
13153,Answer the question concisely with only the answer: who voiced belle in the original beauty and the beast? Answer:,Paige O'Hara,Paige O'Hara.,1
13154,Answer the question concisely with only the answer: when did the newest macbook air come out? Answer:,"June 10, 2013","2020. 
The",0
13155,Answer the question concisely with only the answer: whos in charge of the department of homeland security? Answer:,Kirsten Nielsen,The Secretary of Homeland Security.,0
13156,Answer the question concisely with only the answer: who was the first detroit tiger to win a batting title in 1907? Answer:,Ty Cobb,"Ty Cobb. 
The Detroit",1
13157,Answer the question concisely with only the answer: who has won more rawlings gold glove awards than anyone else during his career? Answer:,Pitcher Greg Maddox,"Greg Maddux. 
Who",1
13158,Answer the question concisely with only the answer: what are the approximate eastern and western boundaries of the mississippi watershed? Answer:,"The majority of the area between the crest of the Rocky Mountains and the crest of the Appalachian Mountains, Except for various regions drained to Hudson Bay by the Red River of the North",the eastern boundary is the atl,1
13159,Answer the question concisely with only the answer: how many pages are in the harry potter series? Answer:,", 195","7,774 pages.",1
13160,Answer the question concisely with only the answer: who plays all the clones in orphan black? Answer:,Tatiana Malay,Tatiana Maslany.,1
13161,Answer the question concisely with only the answer: who has played the most games for liverpool fc? Answer:,Ian Callaghan,Ian Rush. and the player,1
13162,Answer the question concisely with only the answer: who won last year's emirate fa cup? Answer:,Arsenal,"Al Nasr. 
What",0
13163,Answer the question concisely with only the answer: who does the voice of belle in beauty and the beast? Answer:,Donna Paige Helmintoller,Paige O'Hara.,1
13164,Answer the question concisely with only the answer: when do barney and robin first get together? Answer:,Season,"In the episode ""The L",0
13165,Answer the question concisely with only the answer: who opened for the rolling stones in 1981? Answer:,"George Thorogood, The J Gals Band, Prince",David Lee Roth. was the,1
13166,Answer the question concisely with only the answer: who is miss crawford in to kill a mockingbird? Answer:,The neighborhood gossip,Calpurnia's daughter,0
13167,Answer the question concisely with only the answer: where does the parotid duct open in the mouth? Answer:,"On the inner surface of the cheek, Usually opposite the maxillary second molar","in the cheek, opposite the",1
13168,Answer the question concisely with only the answer: what was the name of the puritans ship? Answer:,Winthrop Fleet,"The Mayflower.
Answer the",0
13169,Answer the question concisely with only the answer: who sang the original song to love somebody? Answer:,Bee Gees,The Bee Gees.,1
13170,Answer the question concisely with only the answer: what is the name of the casino in evansville indiana? Answer:,Tropicana Evansville,Tropicana Evansville.,1
13171,Answer the question concisely with only the answer: what year did physical therapy become a doctorate degree? Answer:,1992,2000. The question,0
13172,Answer the question concisely with only the answer: why is there a bulb on the bow of a ship? Answer:,"Modifies the way the water flows around the hull, Reducing drag and thus increasing speed, range, Fuel efficiency, And stability",To help the ship see where,1
13173,Answer the question concisely with only the answer: who did clemson play in the playoffs 2016? Answer:,Alabama Crimson Tide,"Alabama.
Answer the question conc",1
13174,Answer the question concisely with only the answer: the occurrence of oil in assam discovered by? Answer:,"Italian Engineers, Commissioned by the Assam Railways and Trading Company, To build a railway line from Disregard to Margherita",Assam Oil Company in,1
13175,Answer the question concisely with only the answer: who wrote we'll sing in the sunshine? Answer:,Gale Garrett,Bob Hilliard and Ben We,0
13176,Answer the question concisely with only the answer: the unit of force in cgs unit is? Answer:,done,"dyne. 
Answer the",0
13177,Answer the question concisely with only the answer: where was gavin and stacey filmed in wales? Answer:,Barry Island,"Barry Island, Wales.",1
13178,Answer the question concisely with only the answer: what is the opposite of the prime meridian called? Answer:,The 180th meridian,The antimeridian. What,1
13179,Answer the question concisely with only the answer: green revolution in india was first introduced in? Answer:,The early 1960s,"1965
Answer the",1
13180,Answer the question concisely with only the answer: when did deep water horizon movie come out? Answer:,2016,"2016. 
The",1
13181,Answer the question concisely with only the answer: the sedition act of july 1798 criminalized what? Answer:,Making false statements that were critical of the federal government,the sedition act of j,1
13182,Answer the question concisely with only the answer: percentage of high school students in national honor society? Answer:,Over one million students,"12%
Answer the question",0
13183,Answer the question concisely with only the answer: what was the name of the hiroshima bomb? Answer:,`` Little Boy '',"Little Boy.
Answer the question",1
13184,Answer the question concisely with only the answer: when was the first wimpy kid book published? Answer:,2007,"2007. 
When",1
13185,Answer the question concisely with only the answer: where does the pellet form when you are centrifuging? Answer:,On the bottom of the tube,At the bottom of the tube,1
13186,Answer the question concisely with only the answer: where did walter hear about the million dollar distress sale mansion? Answer:,Through an unscrupulous realtor friend,"the newspaper. 
Walter",0
13187,Answer the question concisely with only the answer: when did the movie titanic first come out? Answer:,1997,"December 19, 199",0
13188,Answer the question concisely with only the answer: who suffered the most in the great depression? Answer:,Areas dependent on primary sector industries such as mining and logging,The working class and the poor,1
13189,Answer the question concisely with only the answer: what is the name of washington dc airport? Answer:,Washington Dulles International Airport,Washington Dulles International Airport (,1
13190,Answer the question concisely with only the answer: who made up the first estate in french society? Answer:,Clergy (the First Estate),"The Clergy.
Answer the",1
13191,Answer the question concisely with only the answer: in later hindu literature one seeks salvation through the bhakti-yoga or way of devotion by? Answer:,"participation, Devotion and love for any endeavor",loving a personal god. Answer,0
13192,Answer the question concisely with only the answer: when did multiple personality disorder become dissociative identity disorder? Answer:,1994,"1994.
Diss",1
13193,Answer the question concisely with only the answer: what breed of dog is turner and hooch? Answer:,Rogue de Bordeaux,Dogue de Bordeaux. What,1
13194,Answer the question concisely with only the answer: who has been the longest reigning british monarch? Answer:,Elizabeth II,Queen Victoria. Question 2,0
13195,Answer the question concisely with only the answer: where do kune kune pigs come from originally? Answer:,An Asian domestic breed introduced to New Zealand in the early 19th century by whalers or traders,New Zealand. Answer the question,1
13196,Answer the question concisely with only the answer: who is the actor who plays brick heck? Answer:,Atticus Shaffer,Nick Offerman.,0
13197,Answer the question concisely with only the answer: who was president when the panama canal opened? Answer:,Woodrow Wilson,"Theodore Roosevelt. 
who was",0
13198,Answer the question concisely with only the answer: who wrote the story of the tortoise and the hare? Answer:,Aesop,"Aesop.
Answer the",1
13199,Answer the question concisely with only the answer: when was the last time the bears beat the packers in lambeau field? Answer:,"November 26, 2015","2018
Answer the",0
13200,Answer the question concisely with only the answer: when do you have a tiebreaker in tennis? Answer:,If the set is tied at six games per player,When the score is 6,1
13201,Answer the question concisely with only the answer: who won album of the year in 2017? Answer:,Adele,Chance the Rapper. Source,0
13202,Answer the question concisely with only the answer: what major cellular event happen during the s phase of interphase? Answer:,DNA replication,"DNA replication.
Answer the question",1
13203,Answer the question concisely with only the answer: where can dna be found in a prokaryotic cell? Answer:,In the cytoplasm enclosed by the cell membrane,"nucleoid.
What is the",1
13204,Answer the question concisely with only the answer: when does the next episode of pose air? Answer:,Sometime in 2019,"May 3, 202",0
13205,Answer the question concisely with only the answer: who wrote the theme from a summer place? Answer:,"Lyrics by Mack Distant, Music by Max Steiner","Max Steiner. 
The",1
13206,Answer the question concisely with only the answer: who played robin on the tv series batman? Answer:,Burt Ward,"Burt Ward.
Answer the",1
13207,Answer the question concisely with only the answer: where does pati from pati's mexican table live? Answer:,"Chevy Chase, Maryland","Los Angeles, California.",0
13208,Answer the question concisely with only the answer: which australian cross is on the australian flag? Answer:,St George's Cross,"The Southern Cross. 
The",1
13209,Answer the question concisely with only the answer: who defines economics as the science of wealth? Answer:,Alfred Marshall,"Adam Smith.
Who defined economics",0
13210,Answer the question concisely with only the answer: when did the amazon fire 8 come out? Answer:,September 2016,"2020. 

The",0
13211,Answer the question concisely with only the answer: who sings i will always love you on the jukebox in the bodyguard? Answer:,John Doe,"Whitney Houston. 
Answer the",0
13212,Answer the question concisely with only the answer: when was the movie the dark crystal made? Answer:,1982,1982. Answer the,1
13213,Answer the question concisely with only the answer: who sings baby i'm a want you? Answer:,David Gates,"The Jonas Brothers. 
Who",0
13214,Answer the question concisely with only the answer: who played rachel dawes in the dark knight? Answer:,Maggie Gyllenhaal,Maggie Gyllenhaal.,1
13215,Answer the question concisely with only the answer: what does the latin phrase persona non grata mean? Answer:,Person not appreciated,A person who is not welcome,1
13216,Answer the question concisely with only the answer: who was the founder of the city of agra? Answer:,Sultan Standard Lodi,Sikandar Lodhi.,0
13217,Answer the question concisely with only the answer: how much of the world did the british empire own? Answer:,"35,500,000 km (13,700,000 sq mi), 24 % of the Earth's total land area",About 24% of the,1
13218,Answer the question concisely with only the answer: who is fifth in line for the british throne? Answer:,Henry of Wales,"Princess Alexandra, The Honourable",0
13219,Answer the question concisely with only the answer: what is the length of the empire state building? Answer:,", 454 feet (443. m)","443 meters.?
Answer",0
13220,Answer the question concisely with only the answer: how many feet per second does a 243 shoot? Answer:,", 960 feet (902.21 m) per second",720. Answer the question,0
13221,Answer the question concisely with only the answer: whose portrait appears on the choir call to the right of the apse of san vitale ravenna? Answer:,East Roman Emperor Justinian I,"Justinian. 
Answer the",1
13222,Answer the question concisely with only the answer: san andreas fault is what type of plate boundary? Answer:,transform,"transform plate boundary. 

##",1
13223,Answer the question concisely with only the answer: what's the hummingbird's name in pocahontas? Answer:,Flit,"Flit. 
What's",1
13224,Answer the question concisely with only the answer: the u.s. holiday that eventually became memorial day was first known as what? Answer:,Decoration Day,Decoration Day. the u.s,1
13225,Answer the question concisely with only the answer: who is crowned femina miss india world 2017? Answer:,Anusha Chiller of Haryana,Manushi Chhillar.,0
13226,Answer the question concisely with only the answer: when did ivan the gorilla leave the b i? Answer:,1994,2009. when did,0
13227,Answer the question concisely with only the answer: who is in the finals of so you think you can dance? Answer:,"Led Hashimoto, Kline Kawasaki",The top 3 contestants from,0
13228,Answer the question concisely with only the answer: who won america's top model this year? Answer:,India Grants,I do not have the information,0
13229,Answer the question concisely with only the answer: what is the net yield of atp from glycolysis of one glucose molecule? Answer:,Two net molecules of ATP,2 ATP. (Note,1
13230,Answer the question concisely with only the answer: where do spinner dolphins get their name from? Answer:,Acrobatic displays in which it spins along its longitudinal axis as it leaps through the air,They get their name from their,1
13231,Answer the question concisely with only the answer: what are the blue boxes at the post office? Answer:,Mail collection boxes,"Mailboxes.

Answer the question",1
13232,Answer the question concisely with only the answer: who are the six nations of the iroquois confederacy? Answer:,"Mohawk, Onondaga, Oneida, Cayuga, Seneca, Tuscarora","The Mohawk, Oneida",1
13233,Answer the question concisely with only the answer: when was the last time france and england were at war? Answer:,1815,The last time France and England,0
13234,Answer the question concisely with only the answer: where are hormones secreted by the posterior pituitary gland made? Answer:,hypothalamus,"The hypothalamus.

##",1
13235,Answer the question concisely with only the answer: where did the central pacific and union pacific railroads meet? Answer:,"Promontory, Utah","Promontory Summit, Utah",1
13236,Answer the question concisely with only the answer: what country is in between poland and lithuania? Answer:,Kaliningrad Oblast,Belarus. Belarus is a land,0
13237,Answer the question concisely with only the answer: who wrote he wasn't man enough for me? Answer:,"Rodney Jerkins, Fred Jerkins III, LaSh awn Daniels, And Harvey Mason, Jr.",Diddy. Who wrote he,0
13238,Answer the question concisely with only the answer: where did francis scott key write the star spangled banner? Answer:,In Baltimore Harbor,On board the British warship,0
13239,Answer the question concisely with only the answer: who played bridget on the bold and the beautiful? Answer:,Ashley Jones,"Heather Tom. 
Who played",0
13240,Answer the question concisely with only the answer: who plays ian banks on one tree hill? Answer:,Matthew Jerome Barr,James Lafferty.,0
13241,Answer the question concisely with only the answer: when did filming start for fifty shades of grey? Answer:,"December, 2013",March 2013.,1
13242,Answer the question concisely with only the answer: when was season 1 of queer eye filmed? Answer:,2018,2002-2003,0
13243,Answer the question concisely with only the answer: when is the last time the pirates won the world series? Answer:,1979,"never.
Answer the question conc",0
13244,Answer the question concisely with only the answer: when did the us start using in god we trust? Answer:,1956,"1956.
The United",1
13245,Answer the question concisely with only the answer: who came up with the uses and gratifications theory? Answer:,Elite Katz,"Katz, E. and Bl",1
13246,Answer the question concisely with only the answer: where did united kingdom come in eurovision 2017? Answer:,15th place,"62nd. 
Answer",0
13247,Answer the question concisely with only the answer: when did the mayflower set sail from england? Answer:,"September, 1620","September 6, 162",1
13248,Answer the question concisely with only the answer: when was the american heart association website created? Answer:,"October 28, 2009","1996. 
The",0
13249,Answer the question concisely with only the answer: what does bite off your nose to spite your face? Answer:,An expression to describe a needlessly self-destructive over-reaction to a problem,To do something that hurts you,1
13250,Answer the question concisely with only the answer: what nfl teams have the most superbowl wins? Answer:,Pittsburgh Steelers,The Pittsburgh Steelers and the New,1
13251,Answer the question concisely with only the answer: amendments to title vii of civil rights act? Answer:,"Pregnancy Discrimination Act of 1978, Age Discrimination in Employment Act, Americans with Disabilities Act of 1990",The Civil Rights Act of,1
13252,Answer the question concisely with only the answer: who played the mom in everybody loves raymond? Answer:,Roberts,"Patricia Heaton. 
Who",0
13253,Answer the question concisely with only the answer: when was the first bullet proof vest invented? Answer:,1893,1940. Answer the,0
13254,Answer the question concisely with only the answer: the acts of the apostles is often thought of as part two of which gospel? Answer:,Gospel of Luke,"Luke. 

## Step",1
13255,Answer the question concisely with only the answer: who built adhai din ka jhopra at ajmer? Answer:,But - up - Din - Abbey of Delhi,Qutb-ud-d,1
13256,Answer the question concisely with only the answer: chinese general military strategist and philosopher who wrote the art of war? Answer:,Sun Tau,"Sun Tzu. 
The",1
13257,Answer the question concisely with only the answer: who has the most super bowl wins in the nfl? Answer:,Pittsburgh Steelers,The Pittsburgh Steelers and the New,1
13258,Answer the question concisely with only the answer: where did callie torres go in season 13? Answer:,New York,"New York. 
Answer the",1
13259,Answer the question concisely with only the answer: who does michael marry in the wedding plan? Answer:,Shim,"Ben. 
Who does Michael",0
13260,Answer the question concisely with only the answer: who used the lay waste strategy so that southern civilians would call an end to the war? Answer:,Maj. Gen. William Tecumseh Sherman of the Union Army,The British. The British used,1
13261,Answer the question concisely with only the answer: when did call of duty black ops one come out? Answer:,"November, 2010","November 9, 201",1
13262,Answer the question concisely with only the answer: where does the fear of the dark come from? Answer:,A fear of possible or imagined dangers concealed by darkness,Evolutionary theory suggests it originated,1
13263,Answer the question concisely with only the answer: where does potassium come from in the body? Answer:,Eating a variety of foods that contain potassium,"The kidneys. 
Answer the",1
13264,Answer the question concisely with only the answer: what is the date of the queen's birthday? Answer:,21 April,"21 April. 
The",1
13265,Answer the question concisely with only the answer: who sings i'm not lisa my name is julie? Answer:,Jesse Colter,"The band ""The 197",0
13266,Answer the question concisely with only the answer: what is the skunks name in looney tunes? Answer:,Pepe Le Pew,"Pepe. 
What is",1
13267,Answer the question concisely with only the answer: who sang the original play your own kind of music? Answer:,The Will - O - Bees,"Dean Martin. 
Who sang",1
13268,Answer the question concisely with only the answer: the folk dance form tehra thali belongs to which state? Answer:,Rajasthan,Rajasthan. Step 2:,1
13269,Answer the question concisely with only the answer: when was the last time the united states had a draft? Answer:,December 1972,1973. when was,0
13270,Answer the question concisely with only the answer: where is most furniture made in the united states? Answer:,High Point,"The Southeast. 
What is",0
13271,Answer the question concisely with only the answer: what is the standard rate of tax in ireland? Answer:,12. %,20% or 40,1
13272,Answer the question concisely with only the answer: when was the first residential air conditioning system invented? Answer:,1914,1914. Answer the,1
13273,Answer the question concisely with only the answer: when did the nfl start playing on christmas day? Answer:,1971,"2013.
NFL on",0
13274,Answer the question concisely with only the answer: what is the meaning of gloria in excelsis deo? Answer:,Latin for `` Glory to God in the highest '',It is a Latin phrase meaning,1
13275,Answer the question concisely with only the answer: when did the movie 47 meters down come out? Answer:,16 June 2017,"2017. 
The",1
13276,Answer the question concisely with only the answer: what part did orlando bloom play in the hobbit? Answer:,Pergolas,"Legolas. 
What is",0
13277,Answer the question concisely with only the answer: who does godzilla fight in the 2014 movie? Answer:,`` AUTO '' (Massive Unidentified Terrestrial Organism),King Ghidorah.,0
13278,Answer the question concisely with only the answer: who was the first president born a citizen of the united states? Answer:,Martin Van Buren,"Martin Van Buren.
Answer",1
13279,Answer the question concisely with only the answer: who wrote the diary of a wimpy kid? Answer:,Jeff Kinney,"Jeff Kinney. 
Who",1
13280,Answer the question concisely with only the answer: when does season 8 of shamless come on? Answer:,"November, 2017","March 10th,",0
13281,Answer the question concisely with only the answer: where does the last name urbina come from? Answer:,Basque,The last name Urbina comes,0
13282,Answer the question concisely with only the answer: who plays claire in days of our lives? Answer:,Olivia Rose Keegan,Olivia Rose Keegan.?,1
13283,Answer the question concisely with only the answer: 2. how many nation-states are currently recognised as members of the united nations? Answer:,193,"193
Answer the question",1
13284,Answer the question concisely with only the answer: how can you remove a supreme court justice? Answer:,impeachment,"Impeachment.
Answer the",1
13285,Answer the question concisely with only the answer: who was the head of the senate committee that began hearings to investigate the watergate break-in? Answer:,Sam ErvIn,Senator Sam Ervin. who,1
13286,Answer the question concisely with only the answer: when was the constitution ratified by all states? Answer:,1791,"May 29, 179",0
13287,Answer the question concisely with only the answer: who donated the statue of liberty to the united states? Answer:,France,frédéric auguste Barth,0
13288,Answer the question concisely with only the answer: who was jessie on saved by the bell? Answer:,Elizabeth Berkley Lauren,Mark-Paul Gossela,0
13289,Answer the question concisely with only the answer: who sang come and get your love now? Answer:,Redone,"Redbone. 
The song",0
13290,Answer the question concisely with only the answer: when was the first colony in america established? Answer:,1526,1607. When was,0
13291,Answer the question concisely with only the answer: who was the first woman to be nominated for vice president? Answer:,Geraldine Anne `` Gerry '' Ferraro,Margaret Chase Smith. Margaret Chase,0
13292,Answer the question concisely with only the answer: when did the paleolithic period start and end? Answer:,"From the earliest known use of stone tools, Probably by Homo habits initially, . a million years ago, To the end of the Pleistocene around 10,000 BP",The Paleolithic period is generally,1
13293,Answer the question concisely with only the answer: where does graphite come from to make pencils? Answer:,A mix of powdered graphite and clay,Graphite is mined from graphite,1
13294,Answer the question concisely with only the answer: who is the director general of the indian coast guard? Answer:,Rajendra Singh,Vice Admiral R Hari Kumar.,0
13295,Answer the question concisely with only the answer: which nfl team has the most super bowls? Answer:,Pittsburgh Steelers,Pittsburgh Steelers and New England Patriots,1
13296,Answer the question concisely with only the answer: who says when you play the game of thrones you win or you die? Answer:,Versa Lannister,Tyrion Lannister.,1
13297,Answer the question concisely with only the answer: how much does it cost to run an ad during superbowl? Answer:,$ million per 30 seconds,$5 million - $6,1
13298,Answer the question concisely with only the answer: who authorized the construction of the boulder dam? Answer:,President Coolidge,President Franklin D. Roosevelt.,1
13299,Answer the question concisely with only the answer: when did derek shepherd leave grey's anatomy? Answer:,2015,"Season 5. 
Who",0
13300,Answer the question concisely with only the answer: when does the fifa world cup 2018 end? Answer:,15 July 2018,"July 15, 201",1
13301,Answer the question concisely with only the answer: where is the blarney castle located in ireland? Answer:,"In Blarney, Near Cork","County Cork, Ireland.",1
13302,Answer the question concisely with only the answer: what time period is star trek discovery take place? Answer:,Roughly a decade before the events of the original Star Trek series,2256-2257,0
13303,Answer the question concisely with only the answer: who will be the new president of trinidad and tobago? Answer:,Paula - Mae Weeks,"Keith Rowley.
The question",0
13304,Answer the question concisely with only the answer: who does the voice of mr herbert on family guy? Answer:,Mike Henry,Seth MacFarlane.,0
13305,Answer the question concisely with only the answer: who is the speaker of the house in the house of representatives? Answer:,Congressman Paul Ryan from Wisconsin,The Speaker of the House in,0
13306,Answer the question concisely with only the answer: who played brooke windham in legally blonde the movie? Answer:,Ali Later,"Ali Larter. 
Answer",1
13307,Answer the question concisely with only the answer: when was the last episode of full house aired? Answer:,"May 23, 1995","May 23, 199",1
13308,Answer the question concisely with only the answer: when did the king of thailand pass away? Answer:,13 October 2016,"2016.
What was",1
13309,Answer the question concisely with only the answer: who sings i believe love is the answer? Answer:,American alternative rock band Blessed Union of Souls,Elvis Presley. who sings,0
13310,Answer the question concisely with only the answer: where does there tend to be greater species diversity? Answer:,Near the equator,Tropical rainforests. (,0
13311,Answer the question concisely with only the answer: what colour was the statue of liberty when it was first given to america? Answer:,Dull copper,"Green.
What colour was the",0
13312,Answer the question concisely with only the answer: what's the population of dallas texas 2017? Answer:,", 317,929","1,344,378",1
13313,Answer the question concisely with only the answer: why is it called a 7.5 minute map? Answer:,Maps are one - quarter of the older 15 - minute series,Because it is divided into,0
13314,Answer the question concisely with only the answer: who plays the voice of tamatoa in moana? Answer:,Jermaine Clement,Jemaine Clement.,1
13315,Answer the question concisely with only the answer: who played young tom riddle in the chamber of secrets? Answer:,Christian Peter Colson,"Christian Clavier. 
Answer",1
13316,Answer the question concisely with only the answer: where did destiny's child name come from? Answer:,A passage in the Book of Isaiah,The group's name was inspired,1
13317,Answer the question concisely with only the answer: when did the council of trent take place? Answer:,"Trento (Trent), Northern Italy",1545-1563,0
13318,Answer the question concisely with only the answer: in medical terms what does rdw stand for? Answer:,Red blood cell distribution width,Red Cell Distribution Width. This,1
13319,Answer the question concisely with only the answer: what is the liturgy of the hours in the catholic church? Answer:,The official set of prayers `` marking the hours of each day and sanctifying the day with prayer ''.,The Liturgy of the Hours,1
13320,Answer the question concisely with only the answer: what is the meaning of stanza in poetry? Answer:,A grouped set of lines within a poem,A stanza is a group of,1
13321,Answer the question concisely with only the answer: when was the new heaton manor school built? Answer:,2004,"1964. 
When",0
13322,Answer the question concisely with only the answer: who plays the wasp in the new ant-man movie? Answer:,Evangeline Lilly,Hannah John-Kamen plays the,0
13323,Answer the question concisely with only the answer: who played the lead female role in rosemary's baby? Answer:,Mia Farrow,"Mia Farrow. 
Answer",1
13324,Answer the question concisely with only the answer: where is the british masters held this year? Answer:,Walton Heath Golf Club,Woburn Golf Club.,1
13325,Answer the question concisely with only the answer: where is cove palisades state park in oregon? Answer:,"In eastern Jefferson County, Oregon, Near Culver and Madras in the central part of the state","Located in Oregon, USA,",1
