short_answers,responses,matches
The English,"Harold Godwinson.
Answer",0
First Sunday in October,"1942. 
When",0
12,"12. 
Answer the",1
2017,"2015.
Answer the",0
Kristen Johnston,"Christina Kirkman. 
Answer",0
Set roughly a decade before the events of the original Star Trek series and separate from the timeline of the concurrently produced feature films,"2256. 
Note",0
Thumb Glacier,"Siachen Glacier. 
The",0
President Abraham Lincoln,"President Abraham Lincoln. 
President",1
1990,"1990. 
When",1
In 1981,"1984. 
When",0
Weeks before the trial of Socrates,Athens. (Note: This,0
"Danish, Norwegian","Danish and Norwegian origin, derived",0
Were under a number of legal restrictions,A villain is a person who,0
"The level of wealth, comfort, Material goods, And necessities available to a certain socioeconomic class in a certain geographic area, Usually a country",The standard of living is a,0
Dan Stevens,"Gaston. 
What is",0
"Delhi Ouch, Bun mi Susan",2 survivors. 1,0
Owen,Jalicia (,0
"July, 1898","August 12, 189",0
The summer months,During the summer months (June,1
A supermassive black hole,A supermassive black hole,1
Oct-63,"1963. 
When",0
1971,"1969
Answer the",0
Wedge Antilles and Land Christian (with Nine Nun as his Millennium Falcon co-pilot),Luke Skywalker. Answer the question,0
Endothelial cells,Astrocytes. What is,0
Jermaine Stewart,The Vapors.,0
27-Oct-16,The most recent MacBook Pro was,0
illegal,Prostitution is illegal in Las,1
Tony Bennett,"Tony Bennett.
Answer the question",1
University of Rochester,The University of Rochester owns the,1
The Bill of Rights is the first ten amendments to the United States Constitution,Amendments 1-10.,0
In 380 AD,380 AD. when did,0
"Jonah Marie Roth Frantic, Corbyn Matthew Lesson, Daniel James Seavey, Jack Robert Avery, Zachary Dean Heron","Liam Frantz.
Answer the",0
12,12. (Note:,1
nucleus,"In the nucleus.
Answer the",1
"Princess Winnifred, Knights, Ladies",Kristin Chenoweth sings,0
"March, 2017","February 18, 201",0
"Labyrinth, Email Sand",Michael Bublé. who,0
Barry Bonds,Barry Bonds. I have a,1
American Captain John Davis,"Robert Falcon Scott. 
Who",0
Thomas Lennon,"Corey Reynolds. 
Answer the",0
Heather West,Heather West. Who wins season,1
From the 1960s to the mid-1970s,1960s-197,0
Submerged continent of Zealand,"Australia/Oceania.
Answer",0
"Macon do, A fictitious town in the country of Colombia","Colombia. 
The narrative of",0
", 936 acres","1,100 acres.",0
"Jerome Kern, Oscar Hammerstein II","Jerome Kern. 
Who wrote",0
"Marcus Summon, Tim McGraw",Ozzy Osbourne.,0
"The Lion, The Witch and the Wardrobe","The Lion, the Witch and",1
Jul-17,"April 23, 201",0
"Sir Edmund Percival Hillary, Nepalese Sherpa, Tending Norway",Tenzing Norgay,0
3910 BC ± 200 years,"1815.
Answer the",0
The Dodgers,The Los Angeles Dodgers.,0
Many artists around the world,Barbra Streisand.,0
"Elton John, Tim Rice",Elton John and Tim Rice,0
One of the elected Senators,The President pro tempore pres,0
Quintus Tennis,"Ennius.
Answer the",0
Benjamin Harrison,Ulysses S.,0
`` First Corps of Cadets '',The Minutemen. What,0
sitar,Koto. Norwegian Wood is,0
Elastic modulus,Young's modulus is also known,0
White Nile,"Lake Victoria.
The Nile River",0
The Aristate Tornado,The Tri-State Tornado of,0
Chevrolet Camaro SL,A Tesla Model 3.,0
Ireland,"Dublin, Ireland. 
Answer",1
"August 16, 1896","1896.
When Was",0
18-Apr-18,"Unfortunately, I do not have",0
Charles E. Long,"Tom Bradley, who served",0
Within a cell,From the endoplasmic,0
Wynn Resorts,The Encore Hotel in Las Vegas,0
Rita,Esperanza Cordero narr,0
Rasheed Wallace,194 technical fouls were,0
"Alabama Crimson Tide, Georgia Bulldogs",The top-ranked teams from the,0
Sadie Harris,Dr. Sadie Harris.,1
Jules Verne,Jules Verne.,1
1980 -- 81,"1981. 
When",0
hippies,Hippies. who was the,1
seven,3. Answer the question,0
Michael Crawford,"Sarah Brightman. 
The",0
Zeno Chart,"Connor McDavid. 
Answer",0
Adrianne Curry,"Adrianne Curry.?
Answer",1
In 1972 and 1973,"1968. 
Answer",0
Psychopathic,"The phrase ""patience is",0
Robert Duvall,Gregory Peck. who played,0
"Minneapolis, Minnesota","U.S. Bank Stadium,",0
Ashleigh and Pusey,Ashleigh and Pudsey,0
Alexa Ávalos,Lena Headey. Is,0
Deign,"Diana Ross. 
Who sings",0
Paul Anna,"Etta James. 
Who",0
"37° 59 ′ 02. '' N, 23° 43 ′ 40. '' E","Athens, Greece is located on",0
"At very small, subatomic distances, Less than the diameter of a proton",within the nucleus of an atom,0
23 or more,33 by John Havlic,0
ten,"10
The Ten Pl",1
Adrenal glands,"adrenal glands.
Addison's",1
Elvis Presley,Gary Barlow. (201,0
His grandnephew Gains Octavius,Octavian. Octavian was,0
Tori Kelly,"Tori Kelly. 

Answer",1
Origins in the Industrial Revolution in Britain,The 40 hour work week,0
The ongoing War on Terror,"2003.
The United",0
Is a person who has the legal authority,The legal guardian of a minor,0
Pontiac GTO,"GTO. 
The",0
2020,Late January or early February.,0
1854,"December 8, 185",0
Ben,"Uncle Ben. 
Spiderman",1
"In the Tornado del Puerto desert about 35 miles (56 km) southeast of Socorro, New Mexico, On what was then the USAAF Alamogordo Bombing and Gunnery Range, Now part of White Sands Missile Range","Alamogordo, New Mexico",0
Jewish audiences,The book of Acts was written,0
Bill Gates,"Jeff Bezos. 
Answer",0
2012,1993. when did,0
John Steinbeck,"John Steinbeck. 
The",1
John Martin Summers,"John Denver. 
Who sings",0
"Tia Alma, Played by Naomie Harris","Elizabeth Swann. 
Answer",0
"Tyndall effect, Willis -- Tyndall scattering","Tyndall effect
##",0
Sixth Amendment,The 6th and,0
Around 930 BCE,"930 bc.
The division",0
farming,The invention of agriculture. Explanation,0
1997,"1997.
J.K",1
Alina Bolshakova,"Heather West. 
Answer the",0
1994,"1950. 

The",0
22,"22.
Answer the question",1
Central nervous system,In the brain and spinal cord,0
"liberty, equality, And fraternity","""Liberté, É",0
2016 -- 17 competition,"2014. 
Note",0
extremophile,"extremophiles.
Answer the",1
1992,1992. Next question,1
"Tuesday, November, 2020","Every four years, on the",0
"most southern mainland Asia, From Iraq to China, Island of Java, At altitudes up to 2200 m","Southeast Asia. 
Answer the",0
Einstein,Louis de Broglie discovered,0
Karyn Parsons,Karyn Parsons.,1
1982,1982. When was,1
Chloe Coleman,Zoë Kravitz.,0
Malta Kali,Girish Karnad. who,0
France,"France
What is the name",1
Kabul,Dari and Pashto,0
meniscus,"Meniscus.
What do",1
Composer Klaus Adult and producer Hans Zimmer,Klaus Badelt and Hans Zimmer,0
Weird Sisters or Wayward Sisters,"The Weird Sisters, The Three",0
"Lords Spiritual, Lords Temporal","Peers.
Answer the question",0
"Corned beef,","Corned beef.
Answer the",0
Argentina,Germany played Brazil in the world,0
"440 cubits, 230. meters (755. Ft)",230.4 meters.,0
Bangkok,"Singapore. 
Answer the question",0
The character is uncertain of who he was before,Arthur Fleck. who was,0
Ancient Greece,The events of God of War,0
"06 : 27 UTC (00 : 27 CST) on January 18, 2017","2013.
Answer the",0
Any player sanctioned with a red card was sent off from the pitch and could not be replaced,They are disqualified from the game,0
1804,"1804.
Answer the",1
14-Oct-47,"1947.
What was",0
1987,"1987. 
When",1
Hiram Rhodes Revels,Hiram Revels. Source,0
Cold Fore,"Tim Roth. 
Who plays",0
David Albert Mahfouz,"David Mazouz. However,",0
George Latency,George Lazenby.,0
Guaranteed Rate Field,"Guaranteed Rate Field
Answer the",1
In the Great Barrier Reef,The coastal waters and islands of,0
When people are given blood transfusions of the wrong blood group,When the blood is stored at,0
The decompression of gas within magma,Pressure from gases dissolved in the,0
Pastel de tree leches,Tres Leches Cake in,0
On Ash Wednesday,"Ash Wednesday.
Answer the question",0
housing,"Housing.
What was the main",1
Between the events of The Hobbit and The Lord of the Rings,60 years after the events,0
"Red, Black and white","Red, white, and black",0
American artist Eric Carmen,Patrick Swayze.,0
hypotheses,"Hypotheses.
Answer the",1
$. a million ($. a billion in 2016),"15 million dollars.
What",0
"In and around New York City, In a New Jersey former U.S. Navy base","New York City, Los Angeles",0
"education, Helped found the National Kindergarten Movement",education. What was national louis,0
Each state or territory,Local law enforcement officials. (,0
two,3. Next question?,0
Jun-75,1975. Answer the,0
"54 fully recognized sovereign states (countries, Nine territories, Two de facto independent states with limited or no recognition","54
Answer the question",0
1780,1820. The link,0
Greg Maddox,Ozzie Smith.,0
"Fiona and Cake, Bad Little Boy, The Prince Who Wanted Everything",1. 1,0
Naval,"Roger Federer. 
The",0
Season 11,"Season 8. 
Who",0
Ultimate (and largely discretionary) appellate jurisdiction over all federal courts and state court cases involving issues of federal law plus original jurisdiction over a small range of cases,"declare laws unconstitutional.
Answer the",0
The Tokyo Sky tree,"Burj Khalifa.
Bur",0
Nimrod,"Nimrod.
Answer the question",1
The Iraq War,"Operation Iraqi Freedom
The Iraq",0
Cathy (played by Lindsay Price),Robin Scherbatsky.,0
1984,1984. Answer the,1
Donna Reed,"Donna Reed. 
Who played",1
"July, 2019",There are several new Spider-Man,0
Stephen Nichols,"Stephen Nichols. 
Who played",1
Valerian,"Valerian.
Answer the",1
London,"London, England. 
The",1
`` the flop '',"Hole cards.

## Step",0
29-Mar-18,The American baseball season starts in,0
"Burbank, California",Warner Bros. Studios in Burb,0
26 - year - old Devin Patrick Kelley,Devin Kelley. Note: This,0
28-Jan-18,The schedule is subject to change,0
President Roosevelt,"The FBI, under the direction",0
Amphiboles,"Hornblende.
What is",0
The concept of an obligation or duty,Identifying the defendant. -,0
Work in the nearby mines,"they were miners.
Answer the",0
16-Jul-17,"April 21, 201",0
Sheridan Penn,Glenda Jackson.,0
In the wall of the right atrium of the heart,The sinoatrial node is,0
acronym,when they are used as abbrev,0
ion,Ion. Answer the question conc,1
30-Sep-17,"October 1, 201",0
"Georg Solti, A Hungarian - British conductor","Mariah Carey. 
Maria",0
"Wolverhampton Wanderers, Cardiff City, Fulham","West Ham United. 
Note",0
five,"5.
The final answer",0
"February 25, 1791","1791.
Answer the",0
"Columbus, Ohio","Columbus, Ohio. 
The",1
"November, 2017","November 3, 201",0
"Palm Beach in Sydney's Northern Beaches district, The Australian Technology Park in Red fern",The series is filmed in,0
A concurrent sentence (in which the period of imprisonment equals the length of the longest sentence where the sentences are all served together at the same time),"Probation. 

## Step",0
1871,1891. The first,0
"Tuesday, September, 2018",Not yet available. (Note,0
Armed Forces Special Powers Act,Indian Army's Operation Meghd,0
Hydrogen bomb,The Tsar Bomba is,0
"CZK 23,859","29,000 CZK",0
"February 25, 1791",1791. when was,0
Offenbach,"Ivanov. 
In Three",0
Gateway Arch,The Washington Monument. What is,0
Coastal northeastern Asia,"Northern Japan, Russia and Korea",0
"Düsseldorf, Germany","Düsseldorf, Germany.",1
Justin Timberlake,"Justin Timberlake.
Answer the",1
Parliament,"Henry VIII. 
Who Decl",0
Fiji,The Amazon rainforest. Is,0
Johnston McCulley,"Spain.
Answer the question conc",0
Whoville,"Whoville.
Answer the",1
Kyle Orlando Massey,Kyle Massey. who played,0
29-Nov-13,"2013. 
Answer",0
"liver, kidney, intestine, muscle, brain",In the cytoplasm and,0
In 1870,"1870.
when did",0
Xiphoid process,"Xiphoid process.
Answer",1
Again,PK. (Note: the,0
The inner ear,In the cochlea of the,0
"The first book of Samuel, Chronicles, The Book of Ruth",1 and 2 sam,0
The seasonal expansion and subsequent evaporation of the trapped waters,The salt in Lake Eyre,0
Laura Hope Crews,"Evelyn Keyes. 
Who",0
Aida,Mr. Slade. (,0
"Vancouver, British Columbia, Canada",The Netflix series Cedar Cove was,0
intestine,"Small intestine. 
Answer the",1
The Chainsmokers,Lil Dicky. Who sings,0
"brain, Spinal cord",In the brain and spinal cord,0
20-Jul-69,"July 20, 196",0
Export - based,Mixed economy. What type of,0
Season,"Season 4. 
What",1
MetLife Stadium,The Green Bay Packers. who,0
Ali Campos,Chad Kroeger. Answer the,0
Freddy Fox,"Squeaky. 
If",0
Olympic Peninsula,Olympic National Park is located on,0
Elizabeth Johnson / The Countess,Jessica Lange's character's daughter,0
Sep-16,October 2022.,0
Edamame,"edamame.
What is",1
1868 -' 70,"1868.
Southern states",0
United States,"United States. 
Which country",1
Anita Brain,Vanessa Hudgens. who plays,0
Greg Maddox,"Mariano Rivera. 
Who",0
"A process by which the values and principles of a system in place are contradicted or reversed, An attempt to transform the established social order and its structures of power",The act of undermining or overthrow,0
1833,"1833. However,",1
Usually given as 176 with estimates up to 700,"176
How many students",0
Pirates of the Mississippi,Sufjan Stevens sings the,0
Dec-41,"December 8, 194",0
55,Level 40. What is,0
2016,1995. Step,0
Linseed oil,"Linseed oil.
Answer the",1
Martin Short,"Tim Allen. 
Who played",0
Hem ant Brainwash,"Arijit Singh
Answer",0
Carthage,Carthage. Thank you,1
four,"8. 
There are",0
City Lot,Caity Lotz.,0
"16,400","approximately 12,700.",0
The eighth season,Season 8. What season,0
New York Mets,The Las Vegas 51s,0
English and Scottish,The name Palmer is derived from,0
Barry Corbin,"Fred Willard.?
Who",0
"The Hard Rock Stadium in Miami Gardens, Florida",Hard Rock Stadium in Miami Gardens,1
2013,"never. 
Roosters",0
myometrium,"Myometrium.?
Which",1
Immediately before the events of the original Star Wars film,15 years before the events,0
"One million dollars, A chance to headline a show on the Las Vegas Strip",$1 million and the title,0
Christianity,"Buddhism.
Answer the question conc",0
Bank of America Stadium,"Bank of America Stadium.
Answer",1
Phipps,"Raini Rodriguez. 
Who",0
Robin Bell,"Tobin Bell. 
What",0
A map projection,Cylindrical equal-area projection,0
"October, 2017",The 3rd Magnus Chase,0
Nashville Predators,The Nashville Predators.,1
Lech Walesa,The Solidarity movement. Was,0
At the end of the rainy season in early August,"During the harvest season, usually",0
Archimedes,"Archimedes. 
Answer",1
dinoflagellates,Dinoflagellates.,1
"April to June 17, 2017","April 1, 201",0
"September, 2017",The new episode of Twin Peaks,0
"New York City, Its suburbs, And Long Island",The Rockaways and Staten Island,0
Not doing any work and allowing the whole household to cease from work,To keep the Sabbath holy means,0
Martin McDonald,"Martin McDonagh. 
The",0
103,49. Question: What,0
In European theater of the war,Europe and North Africa during World,0
The Greyhound,The Big Ripper. Read,0
George `` Tailor Made '' Eagerer III,"David.
The question requires a",0
sphincter,Smooth. What type of muscle,0
Spanish origin,"Spain.
The last name Ortiz",0
Parker,"Randy Marsh. 
Who does",0
James Moore,"Ryan Hawley. 
Answer",0
2018,"2023.
The Hand",0
Carey Mulligan,Carey Mulligan's co-star,1
Brenda Strong,Alisha Boe.,0
26-Oct-15,November 2015. Question,0
Chemical energy,"Chemical energy
Answer the question",1
Powers deputed to Chief Election Commissioner,The 22nd amendment in,0
"November, 2014, November for people who pre-ordered","November 5, 201",0
Canadian country music artist Anne Murray,"Anne Murray
Answer the question",0
five,"4. 
Note:",0
Hugs,Milk Chocolate.... Read more,0
"The Alan people and their day naming system, Meaning born on a Thursday",The last name Yaw is,0
George Wickham,Lady Catherine de Bourgh.,0
Saliva,Salivary glands and pancre,1
Barbara Eden,"Barbara Eden.
Who played the",1
Count Karl Robert Nesselrode,"Tsar Alexander I.
Who",0
Between 1994 and 1998,"1990.
Australia changed",0
Democrat Conor Lamb,"Conor Lamb. 
The special",0
Middle Island,"Cape Spear, Newfoundland and Labrador",0
Drake,"Drake. 
Who raps",1
Plankton,"Phytoplankton.
Answer",1
1984,"1984. 
Answer",1
Rain and snowfall,snowmelt and rain.,0
The Roy Rogers Show,"Bonanza.
Answer the question",0
"Ability to control flooding better, Provide increased water storage for irrigation, Generate hydroelectricity",1. Provides hydroelectric,0
A member of the majority party who does not hold the chair of a standing committee,The Speaker of the House of,0
Enrolled voters,"The people of Australia, through",0
Courage and sacrifice,The saffron colour in,0
Jacob,"Joseph. 
Who worked for",0
Reflecting Houston's role as the control center of the U.S. space program,The Houston Astros get their name,0
"Donald Glover, Bogie Banks","Shameik Moore. 
Answer",0
Hormone biosynthetic cells,In the endoplasmic,0
"Pharrell Williams, Tom Baton, Andreas Forever, Franco Tortola",Jim Gaffigan.,0
Security markets,"Investment banks.
Answer the question",0
Chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary,1
"Mickey Newbury, Jerry Lee Lewis",Bruce Cockburn. Thank you,0
Andrew Bryniarski,Jordana Brewster. who,0
Trace Adkins,"Montgomery Gentry. 
Who",0
Spike cancelled the series after one season,"September 2, 202",0
To the left,"The right lane.
The passing",0
Hurl Ravens croft,"Boris Karloff. 
Answer",0
Kobe Bryant,"Shaq. 
Answer the",0
Malcolm - Jamal Warner,Malcolm-Jamal Warner.,0
The 1960s,"1967.
The death",0
Robert K. Merton,"The poor.
The question asks",0
1981,"1977. 
The",0
11779,11779. what is,1
Rex Tillerson,"Antony Blinken.
Who is",0
Makes less sound emit from the f holes,To enhance sustain and tone.,0
The twenty-fourth and final episode of the eighth season,In the season 2 finale,0
Native - born Protestants,The Know Nothing party appealed to,0
"Between Napa and St. Helena, California",The Napa Valley Wine Train,0
"Professional Latin and ballroom dancer, choreographer","Lindsay Arnold
Lindsay Arnold",0
United Kingdom. (S.R.N.),the soviet union.,0
Facebook was blocked following the July 2009 Urumqi riots because Xinjiang independence activists were using Facebook as part of their communications network,China has strict internet censorship policies,0
An opinion poll,"Gallup Poll.
Answer the question",0
"California, Vermont, Virginia, Washington, Wyoming",Some states allow individuals to take,0
1965,The 1960s.,0
The Ice Cream,"Steve Reich. 
Answer the",0
January 1788,"1770.
Answer the",0
11-May-17,June 2017.,0
"David Lander, Fred Newman, June Foray",Christopher Lloyd and Charles Fleischer,0
First Avenue,"The First Avenue. 
Answer",1
Bradley Cooper,"Bradley Cooper. 
The",1
"A young scientist, Named Henry Frankenstein","Mary Shelley.
Who created Frank",0
Necessity,Necessity. According to,1
"Cheap Trick, Todd Griffin","Blondie. 
Who sang",0
Virginia Woolf,"Virginia Woolf. 
Who",1
In the middle of the eighth inning,"The Red Sox play ""Sweet",0
Emily Kinney,Lori Loughlin.,0
The Avengers (2012),The Eternals (197,0
A real number h that reflects the relative distance of a given point from a given circle,the product of the distances of,0
Absolute temperature,The K rating of a light,0
Aaron Smolensk,Marlon Brando's son,0
Timothy B. Schmidt,"The Eagles. 
The Eagles",0
Pamela Fiona Along,4th wall breaking is,0
"Abraham, Isaac, Jacob","Abraham, Isaac, and Jacob",0
Haney - Sardine,Uma Thurman's daughter Maya,0
Ferdinand Magellan,"Spanish colonizers. 
The",0
Melissa Reeves,"Melissa Reeves. 
The Days",1
30-May-08,"2008. 
When",0
Around 25 million,"Approximately 50 million.
The",0
To honor Jordan's achievements and contributions in basketball,They didn't. The Chicago,0
The probation officer,The probation officer is responsible for,1
George F. Kennan,"George Kennan. 
Answer",0
Edward Vincent Bracken,"John Candy. 
Who played",0
Leo Tolstoy,Leo Tolstoy.,1
17-Nov-89,"1989. 
Answer",0
"Victorville, California","New Mexico. 
The Hills",0
Rifts which eventually become rift valleys,"Mid-ocean ridges,",0
Miles,Martini. What is the,0
"Denver Broncos, Patriots",The Green Bay Packers and the,0
2013,"1998.
The Yamaha",0
Whether it is powered by a. - or. - liter engine,The Honda Fit Blue Dot and,0
Maureen Beefy,1. Aylee,0
Provides information technology and consulting services to businesses and governments,To provide strategic advice and guidance,0
1950,"January 26, 195",0
13-Sep-96,"1996. 
Note",0
The Beatles,"The Beatles.
The Beatles hold",1
Imogene Coca,"Imogene Coca. 
Answer",1
Between 1596 and 1599,1596-1598,0
December to February,"In Australia, schools have summer",0
Lower house,the lower house of parliament.,1
Wind instrument,1) Flute,0
Sarus crane,"1.
Which of the",0
Maggie and Richard's 12 - year - old patient,Dr. Nathan Riggs.,0
"Start out higher than its stationary pitch, Slide down as it passes, And continue lower than its stationary pitch as it recedes from the observer","Higher.
Answer the question conc",0
Charged with representing the United States on the U.N. Security Council and during almost all plenary meetings of the General Assembly,The ambassador of the United Nations,0
1886,1886. The strange,1
Evangeline Lilly,Evangeline Lilly.,1
Natascha McElhone,"Dakota Blue Richards. 
Answer",0
To revise the Articles of Confederation,to revise the Articles of Confeder,1
"Dutchman Flat, Todd Lake Meadows",The movie Day of the Out,0
"traffic-calming, aesthetics",To reduce the risk of accidents,0
"Kansas City Chiefs, New England Patriots",The Kansas City Chiefs play the,0
Margery Tyrell,Margaery Tyrell.,0
17-Jan-06,"February 21, 200",0
hostile,adversarial. What is north,0
tines,"Tines. 
What are",1
"On the upper slopes of White Horse Hill in the English civil parish of Huffington (in the ceremonial county of Oxfordshire and historic county of Berkshire), Some km (me) south of the town of Faringdon and a similar distance west of the town of Vantage ; or. Km (. me) south of Huffington",The White Horse of Uff,0
Burton Lane,"Burton Lane. 
The musical",1
"Eric Stewart, Graham Goldman",Graham Gouldman and Eric Stewart,0
British Lieutenant - General Frederick E. Morgan,General Dwight D. Eisenhower.,0
Taylor Hicks,Taylor Hicks. who did k,1
Richard O'Brien,Richard O'Brien. Answer the,1
The President,"The President. 
Answer the",1
"An English, Scottish Gaelic, And French name of Norman origin","England. 
Where does the",0
Maize,"maize.
Answer the question conc",1
12-Dec-17,"December 12, 202",0
"colleges, universities","College or University. 
What",0
Fort McHenry,On a British warship in,0
"Collingwood Magpies, Giants Netball, Sunshine Coast Lightning","The West Coast Fever.
Answer",0
The Amalgamated Clothing Workers of America Union,"Henry Ford. 
Henry Ford",0
. Hugo Weaving,"Hugo Weaving. 
The",0
Entered it as Allies against the Central Powers : Germany and Austria - Hungary,The Triple Entente was formed,0
Jack,"Daniel Grayson. 
Answer",0
"On the left, Or port, side",On the starboard side of,0
There is no might nor power except in Allah,This is a phrase that translates,0
States are required under the Sixth Amendment to the U.S. Constitution to provide an attorney to defendants in criminal cases who are unable to afford their own attorneys,The court ruled that the Sixth,0
Best - of - three,3. college world series,0
1964,"1964.
The Rolling",1
Pogo creator Walt Kelly,Dwight D. Eisenhower.,0
Matthew Perry,"Kirk Cameron. 
Answer the",0
At h : 05 m into the film,When Steve McQueen's character,0
asexual,Begonia. Step 1,0
Carnivorous plant,Carnivorous plant. What,1
Roman Reigns,"Roman Reigns.
Answer the",1
2001,"December 19, 200",0
A standard incandescent or halogen lamp,Incandescent. (Note,0
"Theodor Schwann, Matthias Jakob Schneider",Matthias Jakob Schleiden,0
two,"2
Answer the question",0
AD 79,79 BC. The eruption,0
Ronald Wilson Reagan,"Ronald Reagan. 
Who was",0
Relations between society and the State,"religious, political, economic,",0
Deposition,"Sublimation.
Sublim",0
West of Gorakhpur village of Fathead district of Haryana,Hisar. Question No.,0
"A decline in trade compared to sites further north, The exhaustion of the gold mines, Political instability, Famine and water shortages induced by climatic change",Over-reliance on trade,0
10,"1
How many computers",0
The Pittsburgh Steelers,the patriots. Who won,0
Pope John Paul II in 1992,The Catechism of,0
Alan Shearer,"Alan Shearer. 
Who",1
"vodka, tequila, Light rum, Triple sec, gin, A splash of cola, Decorated with the lemon and straw","Vodka, gin, rum",0
Charles Matthew Hanna,"Charlie Hunnam.
Who plays",0
Horn,The Night's Watch deserter,0
Charlotte,"Charlotte. 
Answer the question",1
Did not originally define who was eligible to vote,White males who owned property.,0
1956,"1930s.
The",0
"Mad Max, Mad Max (1981), Mad Max Beyond Thunder dome (1985), Mad Max : Fury Road (2015)",1. Mad Max (,0
"March, 2006",There is no record of Charlie,0
"Tribal, Kuwait","Death Valley, California. the",0
26-Jan-03,"2021.

Answer the",0
Bobby Russell,"James Cutler.
What inspired",0
Continental Army.,The French helped the Americans.,0
"Carmen Willie, LeBeau M.",James Earl Jones and Carmen Tw,0
"February, 2008",1997. Next question,0
Holier,"Hozier.
The song",0
Aug-67,"Manila, Philippines.
Answer the",0
"Mathematical notation in which operators follow their operands, In contrast to Polish notation (PN), In which operators precede their operands",Polish and Reverse Polish Notation,0
136 minutes,2 hours and 12,0
Andrew Bryniarski,Andrew Bryniarski.,1
Justify (2018),"Justify
Answer the question",0
S phase (synthesis phase),"During the S phase.
Answer",0
Whitfield for Gladys Knight & the Pips,"Marvin Gaye. 
Who",0
"July, 2018","November 1, 202",0
President of India,Ministry of External Affairs (MEA,0
Samuel L. Jackson,Eddie Murphy. who played the,0
"Exodus 20 : -- 17, Deuteronomy : -- 20",Exodus 20:1-,0
President of the Senate,"None, the Vice President has",0
At the end of the first season,"Season 3. 
Note",0
1963,2017. Step,0
Mount Carmel High School,Brentwood High School.,0
or,"3-4.
Answer",0
Dec-17,"2017. 
Answer",0
Country music artist Dirks Bentley,"The White Stripes.
The",0
Leg spinner Jimmy Matthews,Wasim Akram. who,0
Owned by The Walt Disney Company,"Huey, Dewey,",0
Oscar Robertson,"Russell Westbrook. 
Who holds",0
At 01 : 00 GMT (02 : 00 BST) on the last Sunday of October,The last Sunday of October.,0
one,2.2.2,0
Eight episodes,"8. 
Previous Question",0
Peperoncino,"Italian peppers
Answer the question",0
Receptionist Pam Beesly,"Pam. 

## Step",0
"Perry co-wrote the song with its producers Dr. Luke and Benny Blanco, With additional songwriting provided by Max Martin and Cathy Dennis.","Katy Perry. 
The song",0
"On the banks of the Euphrates river, In what is now Rama, Syria","Karbala. 
Note",0
"Soviet Russia, Germany, Austria - Hungary, Bulgaria, Ottoman Empire","Russia and the Central Powers,",0
Duncan Fletcher,"Gary Kirsten. 
Who",0
A proverb attributed to John Lyly's Rufus,"Ancient Greece.
Ancient Greece",0
two,"4
Answer the question",0
Tyler Perry,Cedric the Entertainer,0
Each chamber,The Senate makes its own rules,0
Billy Preston,"Keith Moon. 
The Who",0
The Honky Took Man,The Honky Tonk Man,0
2019,"2025. 
The",0
Tesla,"Nikola Tesla.
Nikola",1
448,448. If you want,1
1999,1971. When did,0
William F. `` Bill '' Garrison,Mohamed Farrah Aidid.,0
Norm Macdonald,Seth MacFarlane.,0
AIF Islam,"Arijit Singh.
A",0
French Norman,"England.
Answer the question conc",0
Mass number,"8

## Step",0
Ozzy Osbourne,"Emily Watson. 
Who is",0
19 species,"80,000.00",0
Hoke Col burn,Morgan Freeman played Hoke Col,0
Rainy Bethe,"Timothy McVeigh.
Answer",0
1967,1967. When did,1
Dirks Bentley,"Rascal Flatts.
Answer",0
In the 17th century,"1920s.
Answer",0
United States Senate,"The United States.
Answer the",0
Are located around the small structures known as papillae found on the upper surface of the tongue,"On your tongue, the roof",0
On a T - shaped island jutting into the Persian Gulf from the central western coast,"In the Middle East.
Answer",0
"In Galveston County, Texas","Santa Fe, Texas is located",0
Kimberly Marie `` Kim '' Manual,"Eileen Davidson. 
The",0
1991,"1996. 
Who",0
Partially published in serial form in 1945 -- 1946 and as a novel in 1951,"1951. 
The",0
"Screwed, Venom","Episode 14, Season",0
Diplotene stage of prophase I,"During anaphase.
Answer",0
24-Sep-17,"The new Star Trek series,",0
2020,"September 21, 202",0
Keegan - Michael Key,"Anna Camp. 
Answer the",0
Jeanette Olsson,"Sebastian Koch. 
Answer the",0
Chennai yin,Bengaluru FC. Answer the,0
1973,"1973. 
When",1
1936,"1936. 
Answer",1
Damon,Damon Salvatore. who ends,1
"Simon Cowell, David Kruger, Per Mansion, Richard Page",Robyn Girshick.,0
Lily,Emmett Bledsoe,0
Jul-18,"July 4, 191",0
Around 80 -- 90 AD,Approximately 62-64 AD,0
Oprah Winfrey Network,OWN (Oprah Win,0
William Herschel,William Herschel. Answer,1
Olivia Newton - John,Olivia Newton-John.,0
Alexander Vincent,Brad Dourif.,0
Aurora,"Merida. 
Which Disney",0
Modern English,"Multicultural English. 
This",0
Alice Bragg,"Octavia Spencer. 
The",0
Norm Macdonald,Seth MacFarlane.,0
United States President Abraham Lincoln,Daniel Day-Lewis.,0
2013,"2012.
Answer the",0
Going back far into the Neolithic period,Approximately 4000 years ago,0
"Ontario, Encompassing the Northwestern Ontario region",Ontario and Manitoba. Question,0
Drew Trees,"Patrick Mahomes
Answer the",0
"Many sources, Including England's Bill of Rights, The United States Bill of Rights and France's Declaration of the Rights of Man",Universal Declaration of Human Rights.,0
António Gas Köniz,Egas Moniz. I,0
