,questions,short_answers,responses
3817,Answer the question concisely with only the answer: when does i'm a celeb usually start? Answer:,25 August 2002,"In November. 
The I"
3818,Answer the question concisely with only the answer: how long is donovan mitchell's contract with the jazz? Answer:,Four - year,"4 years. 
How"
3819,Answer the question concisely with only the answer: who won ink master season 9 shop wars? Answer:,"Old Town Ink, Consisting of Season veteran Aaron `` Bubba '' Irwin and Best Ink Season runner - up DJ Tame","Daniel Robinson. 
Answer the"
3820,Answer the question concisely with only the answer: who identified the authoritarian permissive and authoritative styles? Answer:,Diana Baum rind,Diana Baumrind.
3821,Answer the question concisely with only the answer: doctrine of lapse is one of the causes of which rebellion? Answer:,Indian Rebellion of 1857,Indian rebellion of 1857
3822,Answer the question concisely with only the answer: how many countries are there in the continent of africa? Answer:,54,"54.
How many countries"
3823,Answer the question concisely with only the answer: what country does the game of thrones take place? Answer:,Fictional continents of Westeros and ESSS,"Westeros.
The Game of"
3824,Answer the question concisely with only the answer: what was the name of the leader of the 26th of july movement? Answer:,Fidel Castro,"Che Guevara.
Answer"
3825,Answer the question concisely with only the answer: what do the dazante figures from monte alban depict? Answer:,Sacrificial victims,the history of the oax
3826,Answer the question concisely with only the answer: how long can the president stay in office? Answer:,"Two terms (totaling eight years) or a maximum of ten years if the president acted as president for two years or less in a term where another was elected as president,",8 years. Explanation:
3827,Answer the question concisely with only the answer: what type of ownership cannot be created by operation of law? Answer:,Joint tenants,Sole ownership. What type of
3828,Answer the question concisely with only the answer: what is the meaning of siri in iphone 4s? Answer:,An intelligent personal assistant,It is an artificial intelligence personal
3829,Answer the question concisely with only the answer: when was the sun discovered to be the center of the solar system? Answer:,As early as the rd century BC,"1543.
When was"
3830,Answer the question concisely with only the answer: who sang it's good to be back? Answer:,Scooter,"Rod Stewart
Rod"
3831,Answer the question concisely with only the answer: japanese art of fixing broken pottery with gold? Answer:,"Katsuki (金 継ぎ, `` golden joinery ''), Also known as Kintsukuroi (金 繕い, `` golden repair '')","Kintsugi.
Answer the"
3832,Answer the question concisely with only the answer: when did the drinking age change in ny? Answer:,1985,"2009. 
The"
3833,Answer the question concisely with only the answer: when does jurrasic world the fallen kingdom come out? Answer:,"June 22, 2018","December 7, 201"
3834,Answer the question concisely with only the answer: who has the authority to impeach the president? Answer:,The House of Representatives,The House of Representatives.
3835,Answer the question concisely with only the answer: where was the movie palm trees in the snow filmed? Answer:,"Canary Islands, Hues ca, Colombia","Georgia, Ukraine. 
Note"
3836,Answer the question concisely with only the answer: what country casablanca and marrakech are located in? Answer:,Morocco,"Morocco.
What country are Cas"
3837,Answer the question concisely with only the answer: when does last chance u season 3 take place? Answer:,2017 season,2024. (Note
3838,Answer the question concisely with only the answer: when did the coyotes change from phoenix to arizona? Answer:,"June 27, 2014","2014. 
The"
3839,Answer the question concisely with only the answer: when was the voting age lowered to 18 in the us? Answer:,"July, 1971","1971.
The voting"
3840,Answer the question concisely with only the answer: what is the only english speaking country in south america? Answer:,Guyana,"Guyana.
Answer the question"
3841,Answer the question concisely with only the answer: when did the first ikea store open in the us? Answer:,1985,1985. When did
3842,Answer the question concisely with only the answer: who s the oldest person in the world? Answer:,Violet Brown,Jeanne Calment. Who
3843,Answer the question concisely with only the answer: when did eddie guerrero win the wwe championship? Answer:,2004,"2004.
When did"
3844,Answer the question concisely with only the answer: how far is tappahannock virginia from richmond virginia? Answer:,45 miles (72 km),Approximately 63 miles. Is
3845,Answer the question concisely with only the answer: who plays travis in fear the walking dead? Answer:,Clifford Vivian Devon Curtis,Colman Domingo.
3846,Answer the question concisely with only the answer: when did the round pound come into circulation? Answer:,1984,"1983. 
This"
3847,Answer the question concisely with only the answer: who produced jump out the window by big sean? Answer:,"Key Wane, Hey DJ","Mike Zombie. 
Who produced"
3848,Answer the question concisely with only the answer: who sings the song shout from animal house? Answer:,Otis Day and the Knights,Otis Day and the Knights
3849,Answer the question concisely with only the answer: who invented the quad jump in figure skating? Answer:,Kurt Browning,Donald Jackson. who invented the
3850,Answer the question concisely with only the answer: who sang the original version of walking in memphis? Answer:,Marc Cohn,"Marc Cohn. 
Marc"
3851,Answer the question concisely with only the answer: what role does bailee madison play in the fosters? Answer:,Sophia Quinn,"She plays Callie Jacobs,"
3852,Answer the question concisely with only the answer: who played the cowboy in indian in the cupboard? Answer:,David Keith,Lukas Haas. Who
3853,Answer the question concisely with only the answer: what led to the downfall of the incan empire? Answer:,Battle of Cajamarca,"Spanish conquest.
Answer the question"
3854,Answer the question concisely with only the answer: who is the youngest person to be elected president? Answer:,John F. Kennedy,John F. Kennedy.
3855,Answer the question concisely with only the answer: what is the age of consent in poland? Answer:,15,15 years old. What
3856,Answer the question concisely with only the answer: how much of us gdp goes to military? Answer:,. %,3.4% of
3857,Answer the question concisely with only the answer: what happens at the end of the film adrift? Answer:,"The film cuts to Amy standing on the boat in the sun, Looking around appearing heartbroken. Dan is shown lying face down on the boat with a towel covering his lower half, Seemingly sleeping",The couple survives the ordeal and
3858,Answer the question concisely with only the answer: upland region that stretches from nj to alabama? Answer:,Piedmont,"Appalachian Mountains.
Answer the question"
3859,Answer the question concisely with only the answer: how much did it cost to make the great gatsby? Answer:,$190 million,The production budget for The Great
3860,Answer the question concisely with only the answer: who did the voice of john smith in pocahontas? Answer:,Mel Gibson,"Mel Gibson. 
The voice"
3861,Answer the question concisely with only the answer: when did the first fleet get to australia? Answer:,18 to 20 January 1788,"1788.

## Step"
3862,Answer the question concisely with only the answer: what were the 4 causes of the war of 1812? Answer:,"A series of trade restrictions introduced by Britain to impede American trade with France, The impressment (forced recruitment) of seamen on U.S. vessels into the Royal Navy, The British military support for American Indians who were offering armed resistance to the expansion of the American frontier to the Northwest, A possible desire on the part of the United States to annex Canada",The 4 main causes of
3863,Answer the question concisely with only the answer: who has scored the most goals in laliga? Answer:,Lionel Messi,"Lionel Messi. 
Note:"
3864,Answer the question concisely with only the answer: who did the us by the louisiana purchase from? Answer:,France,"France. 
Who did the"
3865,Answer the question concisely with only the answer: who is arya stark on game of thrones? Answer:,The younger daughter and third child of Lord Edward Stark and his wife Lady Katelyn Stark,Arya Stark is the daughter
3866,Answer the question concisely with only the answer: when does madden 18 come out on xbox 360? Answer:,"August 25, 2017, Although those who pre-ordered the `` G.O.A.T. Edition '' were able to play it three days earlier",Madden 18 is not coming
3867,Answer the question concisely with only the answer: when was national insurance introduced in the uk? Answer:,1911,1911. (note
3868,Answer the question concisely with only the answer: who ruled the country before it became bolivia? Answer:,Spanish,Spain. who ruled the country
3869,Answer the question concisely with only the answer: a document written in england in 1215 that granted certain rights to nobles? Answer:,"Magna Carta Liberated (Medieval Latin for `` the Great Charter of the Liberties ''), Commonly called Magna Carta (also Magma Chart ; `` Great Charter '')","Magna Carta.
Answer"
3870,Answer the question concisely with only the answer: who wrote you never call me by my name? Answer:,"Steve Goodman, John Prince",Daryl Hall and John O
3871,Answer the question concisely with only the answer: orange is the new black crazy eyes gf? Answer:,Maureen Studio,Crazy Eyes. Answer the question
3872,Answer the question concisely with only the answer: what part of the brain functions as the control center of the endocrine system? Answer:,hypothalamus,"Hypothalamus.
Answer"
3873,Answer the question concisely with only the answer: when did falcon first appear in the mcu? Answer:,In the 2014 film Captain America : The Winter Soldier,"2014. 
F"
3874,Answer the question concisely with only the answer: who sang the original ode to billy joe? Answer:,Bobbie Gentry,Bobbie Gentry.
3875,Answer the question concisely with only the answer: what is the size of the largest zebrafish? Answer:,. Cm (. In),4 inches. What is
3876,Answer the question concisely with only the answer: where does the coronary artery carry blood to? Answer:,The myocardium and other components of the heart,The heart muscle. Thank you
3877,Answer the question concisely with only the answer: how long is the bullet train from beijing to shanghai? Answer:,", 318 kilometers (819 mi)",4.5 hours.
3878,Answer the question concisely with only the answer: who has the authority to decide if a drug is marketed as an otc or prescription-only product? Answer:,The FDA,"FDA.
Answer the question conc"
3879,Answer the question concisely with only the answer: who sings there's always something there to remind me? Answer:,"Dionne Warwick, Lou Johnson","Rod Stewart. 
The song"
3880,Answer the question concisely with only the answer: where did the emperor live in ancient rome? Answer:,The Palatine Hill,The emperor lived in the palace
3881,Answer the question concisely with only the answer: who wrote the texts or libretti of richard wagner's music dramas? Answer:,Wilhelm Richard Wagner,Richard Wagner himself. Answer the
3882,Answer the question concisely with only the answer: who plays mayor hamilton on ncis new orleans? Answer:,Steven Robert Weber,Rob Kerkovich.
3883,Answer the question concisely with only the answer: where is james scott from days of our lives? Answer:,Other endeavors,"Salem, Wisconsin.
Salem"
3884,Answer the question concisely with only the answer: when was the great sphinx of giza discovered? Answer:,1817,Not known. The Great Sphinx
3885,Answer the question concisely with only the answer: where did the catcher in the rye take place? Answer:,Southern California near Hollywood,"New York City. 
The"
3886,Answer the question concisely with only the answer: who was the publisher of the fault in our stars? Answer:,Barnes & Noble,"Little, Brown and Company."
3887,Answer the question concisely with only the answer: who plays the judge in goliath season 2? Answer:,Alexandra Billings,"Billy Burke. 
Who plays"
3888,Answer the question concisely with only the answer: who sings if you see her with reba? Answer:,Brooks & Dunn,"Brooks & Dunn. 
The"
3889,Answer the question concisely with only the answer: when was the last time the united states was debt free? Answer:,About a year during 1835 -- 1836,"1835.
Answer the"
3890,Answer the question concisely with only the answer: when are you classified as a serial killer? Answer:,"A person who murders three or more people, Usually in service of abnormal psychological gratification, With the murders taking place over more than a month and including a significant period of time between them",When you have committed three or
3891,Answer the question concisely with only the answer: who plays the principle in f the prom? Answer:,Nichole Tom,Matthew Broderick. (
3892,Answer the question concisely with only the answer: who was the us president between 1901 in 1909? Answer:,Theodore Roosevelt Jr.,Theodor Roosevelt and William Howard
3893,Answer the question concisely with only the answer: who played jessie on saved by the bell? Answer:,Elizabeth Berkley,Elizabeth Berkley. who played
3894,Answer the question concisely with only the answer: when will be the next fifa world cup held? Answer:,2022,2026. Thank you
3895,Answer the question concisely with only the answer: what were the main reasons the bantu speaking tribes left central africa? Answer:,migrations,The main reasons the Bantu
3896,Answer the question concisely with only the answer: pyelonephritis is usually caused by which type of organism? Answer:,"Bacterial infection, Most commonly Escherichia coli",gram-negative bacilli. (
3897,Answer the question concisely with only the answer: is the three little pigs a fairy tale or folktale? Answer:,folktale,"Folktale
Fol"
3898,Answer the question concisely with only the answer: who has the power to disqualify the athlete in race walking during the competition? Answer:,Three judges submitting `` red cards '',"The Chief Judge.
Answer the"
3899,Answer the question concisely with only the answer: where is the electoral college mentioned in the constitution? Answer:,"Article II, Section, Clause, The Twelfth Amendment","Article II, Section 1"
3900,Answer the question concisely with only the answer: snow patrol set the fire to the third bar female singer? Answer:,Martha Wainwright,Niall Horan is
3901,Answer the question concisely with only the answer: who plays jj's husband will on criminal minds? Answer:,Joshua Regnal Stewart,Thomas Gibson. Who plays JJ
3902,Answer the question concisely with only the answer: what does a red envelope mean in china? Answer:,A monetary gift,Good luck and prosperity. what
3903,Answer the question concisely with only the answer: where do they cook food in front of you? Answer:,Teppanyaki grills,in a restaurant. Answer the
3904,Answer the question concisely with only the answer: who won the women's rugby world cup 2017 semi-final? Answer:,"England, New Zealand",England and New Zealand. (
3905,Answer the question concisely with only the answer: who became famous by singing the blues during the jazz age? Answer:,Bessie Smith,Bessie Smith.
3906,Answer the question concisely with only the answer: who sings pink floyd wish you were here? Answer:,David Glamour,David Gilmour. Who
3907,Answer the question concisely with only the answer: what is the use of control panel icon in ms windows? Answer:,Provides the ability to view and change system settings,To configure and customize system settings
3908,Answer the question concisely with only the answer: name an animal other than birds that can fly? Answer:,insects,"Insects.
Answer the question"
3909,Answer the question concisely with only the answer: why do college football players have stickers on their helmet? Answer:,Denote either individual or team accomplishments,The stickers are a way for
3910,Answer the question concisely with only the answer: when does the final maze runner come out? Answer:,2018,"The third and final book,"
3911,Answer the question concisely with only the answer: how many troops did great britain have in ww2? Answer:,Over. a million men,4.5 million.
3912,Answer the question concisely with only the answer: when does game of thrones end this season? Answer:,"August 27, 2017","June 16, 201"
3913,Answer the question concisely with only the answer: how many episodes of the sopranos are there? Answer:,86,"86. 
This answer"
3914,Answer the question concisely with only the answer: where did they film the war for the planet of the apes? Answer:,"Vancouver, British Columbia, Canada",They filmed the movie in
3915,Answer the question concisely with only the answer: who does the president nominate to represent the us in other countries? Answer:,"Foreign Service Officer, Political appointee","Ambassadors.
Answer the question"
3916,Answer the question concisely with only the answer: when did the story of ruth take place? Answer:,"Bethlehem, Moab",During the time of the judges
3917,Answer the question concisely with only the answer: who was the captain who died on deadliest catch? Answer:,Phillip Charles `` Phil '' Harris,"Tony Lara.
Who was the"
3918,Answer the question concisely with only the answer: where does helicase separate the strands of dna? Answer:,Directionally along a nucleic acid phosphodiester backbone,"The replication fork.
Answer the"
3919,Answer the question concisely with only the answer: name of bird that ate prometheus's liver? Answer:,eagle,Vulture. Answer the question
3920,Answer the question concisely with only the answer: who plays governor conway in house of cards? Answer:,Charles Joel Nordstrom Cinnamon,Gerald McRaney.
3921,Answer the question concisely with only the answer: how did hitchcock began his film career in 1919? Answer:,"A title card designer for the London branch of the American firm Famous Players - Lanky, The production arm of Paramount Pictures, At Arlington Studios",He began working as a title
3922,Answer the question concisely with only the answer: an optimal tax is one that minimizes the? Answer:,Inefficiency and distortion in the market under given economic constraints,"deadweight loss.

## Step"
3923,Answer the question concisely with only the answer: what kind of story is the great gatsby? Answer:,A cautionary tale regarding the American Dream.,"A tragic love story.
The"
3924,Answer the question concisely with only the answer: what type of government is there in egypt? Answer:,"Based on republicanism, With a semi-presidential system of government","Presidential system.
What type of"
3925,Answer the question concisely with only the answer: when did north korea start competing in the olympics? Answer:,1964,"1964. 
The"
3926,Answer the question concisely with only the answer: who is lips girlfriend in shameless season 7? Answer:,Sierra,Svetlana.?
3927,Answer the question concisely with only the answer: where is the liberty bowl played in memphis? Answer:,Liberty Bowl Memorial Stadium,Liberty Bowl Memorial Stadium in Memphis
3928,Answer the question concisely with only the answer: when does the tv show the rookies start? Answer:,"October 16, 2018","The TV show ""The R"
3929,Answer the question concisely with only the answer: structural feature that is responsible for absorbing visible light? Answer:,chromosphere,Chromophore. <hr
3930,Answer the question concisely with only the answer: who wrote the song when i was 17? Answer:,ErvIn Drake,"Robert Palmer. 
Who wrote"
3931,Answer the question concisely with only the answer: when was the bells by edgar allan poe written? Answer:,May 1848,1848. was the
3932,Answer the question concisely with only the answer: what is the capital of the state of delaware? Answer:,Dover,"Dover.
Answer the question conc"
3933,Answer the question concisely with only the answer: when does season 7 part 2 of suits start? Answer:,"March 28, 2018",There is no release date for
3934,Answer the question concisely with only the answer: how many words are in the oxford english dictionary? Answer:,"59 million words, 616,500 words - forms in total","170,000."
3935,Answer the question concisely with only the answer: when does the next episode of henry danger air? Answer:,"October 21, 2017",The next episode of Henry Danger
3936,Answer the question concisely with only the answer: when did they move the nba 3 point line? Answer:,"1994 -- 95, 1995 -- 96, 1996 -- 97, 1997 -- 98 season","1994.
Answer the"
3937,Answer the question concisely with only the answer: what are the odds of winning a game of solitaire? Answer:,79 %,"1 in 52,"
3938,Answer the question concisely with only the answer: who holds the power in a representative democracy? Answer:,The hands of the representatives,The citizens. Explanation: In
3939,Answer the question concisely with only the answer: how long was titanic at sea before it sank? Answer:,Four days,"4 hours.
Answer the"
3940,Answer the question concisely with only the answer: who plays flores on orange is the new black? Answer:,Laura Gómez,Selenis Leyva.
3941,Answer the question concisely with only the answer: who sang don't leave me this way in 1986? Answer:,The Commands,"Pet Shop Boys. 
Who"
3942,Answer the question concisely with only the answer: when was the pledge of allegiance first created? Answer:,1887,"1892. 
The"
3943,Answer the question concisely with only the answer: when is a country said to be on gold standard? Answer:,Which the standard economic unit of account is based on a fixed quantity of gold,When its currency is pegged
3944,Answer the question concisely with only the answer: the yellow wallpaper by charlotte perkins gilman synopsis? Answer:,The effect of under stimulation on the narrator's mental health and her descent into psychosis,"The narrator, a woman suffering"
3945,Answer the question concisely with only the answer: a ruined city on crete centre of the minoan bronze age civilisation? Answer:,Knossos,"Knossos.
Answer the"
3946,Answer the question concisely with only the answer: what is the earth's outer core made out of? Answer:,Iron and nickel,Liquid iron and nickel. What
3947,Answer the question concisely with only the answer: who died from the band faith no more? Answer:,Singer Chuck Mosley,"Chuck Mosley. 
The"
3948,Answer the question concisely with only the answer: it is a kind of a parrot but cannot fly? Answer:,Adapt,a Macaw. Macaws
3949,Answer the question concisely with only the answer: are owned by the members and typically hold private nonprofit status? Answer:,Private foundations,"True. 
Answer the question"
3950,Answer the question concisely with only the answer: what type of writing is most similar to an autobiography a. poetry b. short story c. novel d. memoir? Answer:,memoir,"d
Answer the question conc"
3951,Answer the question concisely with only the answer: when did silk begin to be produced in china? Answer:,4000 and 3000 BC,"3000 BC.
Sil"
3952,Answer the question concisely with only the answer: when does the 2017 tax plan take effect? Answer:,"January, 2018","January 1, 201"
3953,Answer the question concisely with only the answer: when did season 4 of madam secretary start? Answer:,"October, 2017","October 8, 201"
3954,Answer the question concisely with only the answer: who wrote the music for land of hope and glory? Answer:,Edward Elgar,"Elgar.
This is a"
3955,Answer the question concisely with only the answer: who was the coach when the lions went 0-16? Answer:,Rod Farinelli,"Rod Marinelli
The Detroit"
3956,Answer the question concisely with only the answer: where does the last name mcgee come from? Answer:,An English language surname of Irish and Scottish Gaelic origin,"Ireland, Scotland, and England"
3957,Answer the question concisely with only the answer: when does the next season of daredevil start? Answer:,2018,There is no official release date
3958,Answer the question concisely with only the answer: which country in the uk has the highest population? Answer:,England,"England. 
What is the"
3959,Answer the question concisely with only the answer: when were the yoga sutras of patanjali written? Answer:,Prior to 400 CE,Approximately 400 CE.
3960,Answer the question concisely with only the answer: where did the term flip flop come from? Answer:,It is an onomatopoeia of the sound made by the sandals when walking in them.,"Hawaii. The term ""flip"
3961,Answer the question concisely with only the answer: who plays the coach on friday night lights? Answer:,Kyle Martin Chandler,"Kyle Chandler. 
Answer the"
3962,Answer the question concisely with only the answer: when did michael jordan win his first mvp? Answer:,1987 -- 88 season,1988. when did
3963,Answer the question concisely with only the answer: when did lion king come out in theaters? Answer:,"June 24, 1994","1994. 
The"
3964,Answer the question concisely with only the answer: who played simon in jesus christ superstar live? Answer:,Erik Cornwall,Tim Minchin. who played
3965,Answer the question concisely with only the answer: the online sales of goods and services is known as? Answer:,E-commerce,"E-commerce.
The final answer"
3966,Answer the question concisely with only the answer: i am the pretty thing that lives in the house ending meaning? Answer:,A new family move into the house who are seemingly unaware of all the ghosts they are `` borrowing it from. '',"The house is a prison,"
3967,Answer the question concisely with only the answer: who sang you're a mean one mr. grinch in the iconic 1966 animated tv show? Answer:,Hurl Ravens croft,"Thurl Ravenscroft.
Answer"
3968,Answer the question concisely with only the answer: how many sports are there in the 2018 commonwealth games? Answer:,19 Commonwealth sports,"19. 
The Commonwealth"
3969,Answer the question concisely with only the answer: where was the first season of the walking dead filmed? Answer:,"In and around Atlanta, Georgia","Senoia, Georgia."
3970,Answer the question concisely with only the answer: what is the statue of liberty holding in her left arm? Answer:,Tabula ansatz,"a tablet. 
The Statue"
3971,Answer the question concisely with only the answer: nathula pass is located in which state of india? Answer:,Sikkim,Sikkim. Nathula
3972,Answer the question concisely with only the answer: who wrote the song it had to be you? Answer:,"Written by Islam Jones, With lyrics by Gus Khan","Isham Jones. 
This"
3973,Answer the question concisely with only the answer: who did the ottoman empire fight with in ww1? Answer:,The Entente in the Balkans and the Middle Eastern theater of World War I,The Ottoman Empire fought against the
3974,Answer the question concisely with only the answer: what document is the bill of rights part of? Answer:,United States Constitution,"The Constitution. 
The bill"
3975,Answer the question concisely with only the answer: how high is the peak in hong kong? Answer:,"552 m, , 811 ft","1,115 meters ("
3976,Answer the question concisely with only the answer: where was season 1 of the walking dead filmed? Answer:,"In and around Atlanta, Georgia","Atlanta, Georgia. 
Answer"
3977,Answer the question concisely with only the answer: where is arnold air force base in tennessee? Answer:,"Oklahoma, Tennessee","Located in Manchester, Tennessee."
3978,Answer the question concisely with only the answer: who won the battle of bunker hill in june 1775? Answer:,The British,The British won the battle of
3979,Answer the question concisely with only the answer: who does ben kill on days of our lives? Answer:,"Several victims, Including legacy character Will Horton","Ben Weston. 
The question"
3980,Answer the question concisely with only the answer: how many federal district court judges are there in the united states? Answer:,673,"94.
The number of"
3981,Answer the question concisely with only the answer: what is the use of joins in sql? Answer:,Combines columns from one or more tables in a relational database,Joins are used to combine
3982,Answer the question concisely with only the answer: who has made the longest field goal ever? Answer:,Matt Prater,Justin Tucker. Source: Justin
3983,Answer the question concisely with only the answer: who is the guy that does the arby commercials? Answer:,Thames,Ving Rhames.
3984,Answer the question concisely with only the answer: when did season 8 of the vampire diaries start? Answer:,"October 21, 2016","September 15, 201"
3985,Answer the question concisely with only the answer: when was the last time the cavs won a championship? Answer:,2016,"2016. 
When"
3986,Answer the question concisely with only the answer: how many songs did the grateful dead play? Answer:,Songs documented to have been played by the band exceeds 500,"Over 5,000."
3987,Answer the question concisely with only the answer: who made up the first estate in the french revolution? Answer:,clergy,"Clergy.
The clergy,"
3988,Answer the question concisely with only the answer: where do plasma cells come from and what is their function? Answer:,"The bone marrow, Produce antibody molecules",Plasma cells are derived from activated
3989,Answer the question concisely with only the answer: who wrote the song we'll sing in the sunshine? Answer:,Gale Garrett,"Bob Marley. 
Answer"
3990,Answer the question concisely with only the answer: the percentage of carbon in high speed steel is? Answer:,%,1.4-1
3991,Answer the question concisely with only the answer: who was the dada teacher in half blood prince? Answer:,Shape,Professor Slughorn.
3992,Answer the question concisely with only the answer: when did the northern ireland peace process begin? Answer:,1994,1994. When did
3993,Answer the question concisely with only the answer: what's the first book in the pretty little liars series? Answer:,Pretty Little Liars,Pretty Little Liars.
3994,Answer the question concisely with only the answer: where do small shrimps hide to avoid predation? Answer:,sediment,In the crevices of
3995,Answer the question concisely with only the answer: mandalay bay hotel las vegas how many floors? Answer:,43,"39 floors. 
The"
3996,Answer the question concisely with only the answer: where was the first modern day olympic games held? Answer:,"Athens, Greece","Athens, Greece.
Answer the"
3997,Answer the question concisely with only the answer: who was the hardest hit by the great depression? Answer:,"Cities all around the world were hit hard, Especially those dependent on heavy industry",The hardest hit by the great
3998,Answer the question concisely with only the answer: when did islam split between sunni and shiite? Answer:,632AD,632 AD. Read on
3999,Answer the question concisely with only the answer: where did cliff richard come in the eurovision? Answer:,second,"2nd. 
Answer"
4000,Answer the question concisely with only the answer: the clean air act requires this agency to regulate environmental policies? Answer:,The U.S. Environmental Protection Agency (EPA),the Environmental Protection Agency (E
4001,Answer the question concisely with only the answer: who plays wesker in resident evil final chapter? Answer:,Shawn Roberts,Shuhei Oobay
4002,Answer the question concisely with only the answer: who sings lets hear it for the boy? Answer:,Denied Williams,Deniece Williams. who sings
4003,Answer the question concisely with only the answer: what is the oxidation state of cl in cl2o7? Answer:,+,+7. 2020
4004,Answer the question concisely with only the answer: who sang the song if you're going to san francisco? Answer:,Scott McKenzie,"Scott McKenzie
Who sang the"
4005,Answer the question concisely with only the answer: when does the truth about ivy come out? Answer:,"The fourth season finale `` The Wrong Goodbye, ''",When the leaves fall off.
4006,Answer the question concisely with only the answer: where is de beers located in south africa? Answer:,Kimberley,"Jwaneng, Botswana"
4007,Answer the question concisely with only the answer: who started the construction of qutab minar at delhi? Answer:,"Utah - Up - Din - Abbey, Founder of the Delhi Sultanate",Qutb-ud-d
4008,Answer the question concisely with only the answer: what is the female end of a garden hose? Answer:,connector,"Spigot.
Answer the"
4009,Answer the question concisely with only the answer: his left-foot volleyed winner in the 2002 uefa champions league final? Answer:,Zidane,"Zidane.
What was"
4010,Answer the question concisely with only the answer: who is the voice of garfield the cat? Answer:,"Lorenzo Music, Frank Walker, Bill Murray",Jason Marsden. Jason Mars
4011,Answer the question concisely with only the answer: who plays laurel pride on ncis new orleans? Answer:,Shanley Ca swell,Vanessa Ferlito.
4012,Answer the question concisely with only the answer: when did the surgeon general warning go on cigarettes? Answer:,1966,"1965.
Answer the"
4013,Answer the question concisely with only the answer: when were the first laws of cricket written? Answer:,1744,"1744. 
The"
4014,Answer the question concisely with only the answer: where did world war 1 first take place? Answer:,Europe,"the balkans.
What was"
4015,Answer the question concisely with only the answer: what is project cycle management (pcm)? Answer:,"The process of planning, organizing, coordinating, And controlling of a project effectively and efficiently throughout its phases, From planning through execution then completion and review to achieve pre-defined objectives or satisfying the project stakeholder by producing the right deliverable at the right time, Cost and quality",PCM is a systematic approach to
4016,Answer the question concisely with only the answer: when was the constitution of south africa written? Answer:,1994,"1996.
Answer the"
4017,Answer the question concisely with only the answer: who won the election of 1824 but failed to win a majority of the votes necessary to become president? Answer:,John Quincy Adams,"John Quincy Adams. 
Answer"
4018,Answer the question concisely with only the answer: where was the epicenter of the earthquake that caused the 2004 tsunami? Answer:,"Off the west coast of Sumatra, Indonesia","Indian Ocean, near Indonesia."
4019,Answer the question concisely with only the answer: when did ted hughes wrote the iron man? Answer:,1968,"1959.
Answer the"
4020,Answer the question concisely with only the answer: who will be on the throne when the queen dies? Answer:,"Charles, Prince of Wales","Charles.
What is the role"
4021,Answer the question concisely with only the answer: when was the last time the red sox were in the world series? Answer:,2013,"2018.
Answer the"
4022,Answer the question concisely with only the answer: name of the horse of rani laxmi bai? Answer:,"Strange, Pavan, Basal","Dhool.

## Step"
4023,Answer the question concisely with only the answer: who has the primary duty of ensuring justice? Answer:,judiciary,"The Judiciary. 
The judiciary"
4024,Answer the question concisely with only the answer: when did the first tim hortons open in the usa? Answer:,1981,1984. Answer the
4025,Answer the question concisely with only the answer: where was the man with the withered hand healed? Answer:,The synagogue,"Nazareth. However, it"
4026,Answer the question concisely with only the answer: what is the name of the strait between djibouti and yemen? Answer:,Bad - El - Man deb,Bab al-Mandab.
4027,Answer the question concisely with only the answer: john frusciante niandra lades and usually just a t-shirt? Answer:,Debut solo album by John Frustrate,no. You can also check
4028,Answer the question concisely with only the answer: who built the temple in the sea in trinidad? Answer:,Sedans Sadhu,The Hindus built the temple in
4029,Answer the question concisely with only the answer: what period follows the end of the bronze age in greece? Answer:,Greek Dark Ages,"The Iron Age.
What period"
4030,Answer the question concisely with only the answer: when was the printing press invented in ancient china? Answer:,Before the TH century CE,there is no evidence that the
4031,Answer the question concisely with only the answer: who wrote the hallelujah chorus from handel messiah? Answer:,George Frederic Handel,George Frideric Handel
4032,Answer the question concisely with only the answer: who is the longest living president of the united states? Answer:,George H.W. Bush,Gerald Ford. Gerald Ford is
4033,Answer the question concisely with only the answer: what is the meaning of school leaving certificate? Answer:,A certification obtained by a student on successful completion of an examination at the end of study,A document issued by the school
4034,Answer the question concisely with only the answer: who played rachel lynde in anne of green gables? Answer:,Patricia Hamilton,"Colleen Dewhurst
Answer"
4035,Answer the question concisely with only the answer: what is the importance of national sorry day? Answer:,To remember and commemorate the mistreatment of the country's indigenous population,To acknowledge and honour the victims
4036,Answer the question concisely with only the answer: who plays my old kentucky home at the derby? Answer:,The University of Louisville Marching Band,Billy Gilman. (Source
4037,Answer the question concisely with only the answer: where did two door cinema club get their name? Answer:,"From Halliday's mispronunciation of the name of the local cinema, The Tudor Cinema",From a cinema in Leeds that
4038,Answer the question concisely with only the answer: when was the first sanatorium for tuberculosis treatment opened? Answer:,1885,1889. The first
4039,Answer the question concisely with only the answer: who are the judges on x factor uk 2015? Answer:,"Simon Cowell, Cheryl Fernandez - Versing, Rita Ora, Nick Scrimshaw","Louis Walsh, Simon Cowell"
4040,Answer the question concisely with only the answer: who dies in guardians of the galexy 2? Answer:,Ego,"Ronan the Accuser,"
4041,Answer the question concisely with only the answer: who does morgan freeman play in shawshank redemption? Answer:,Ellis Boyd `` Red '' Redding,"Red. 
The Shawsh"
4042,Answer the question concisely with only the answer: who played in the ncaa finals last year? Answer:,North Carolina,Villanova and North Carolina.
4043,Answer the question concisely with only the answer: who played tulsa in the space between us? Answer:,Britt Robertson,"Blake Lively. 
Answer"
